period_date,period_type,source_file,bulletin_period,current_account_balance_mn_usd,trade_balance_mn_usd,goods_exports_total_mn_usd,oil_gas_exports_mn_usd,other_exports_mn_usd,goods_imports_total_mn_usd,oil_gas_imports_mn_usd,other_imports_mn_usd,country_name,country_iso
1995-01-01,annual,statistical_bulletin_2026_01.xlsx,2026-01-01,-400.0,-373.0,612.0,305.0,307.0,-985.0,-64.0,-6.0,Azerbaijan,AZE
1996-01-01,annual,statistical_bulletin_2026_01.xlsx,2026-01-01,-931.0,-694.0,644.0,416.0,228.0,-1338.0,-14.0,2.0,Azerbaijan,AZE
1997-01-01,annual,statistical_bulletin_2026_01.xlsx,2026-01-01,-915.0,-567.0,808.0,453.0,355.0,-1375.0,-19.0,10.0,Azerbaijan,AZE
1998-01-01,annual,statistical_bulletin_2026_01.xlsx,2026-01-01,-1364.0,-1046.0,678.0,436.0,242.0,-1724.0,-27.0,14.0,Azerbaijan,AZE
1999-01-01,annual,statistical_bulletin_2026_01.xlsx,2026-01-01,-600.0,-408.0,1025.0,801.0,224.0,-1433.0,-51.0,6.0,Azerbaijan,AZE
2000-01-01,annual,statistical_bulletin_2026_01.xlsx,2026-01-01,-168.0,319.0,1858.0,1579.0,279.0,-1539.0,-361.0,26.0,Azerbaijan,AZE
2001-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,-70.0,80.0,481.0,262.0,219.0,-401.0,-84.0,3.0,Azerbaijan,AZE
2002-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,-248.70700000000002,172.0,735.0,385.0,350.0,-563.0,-125.698,4.446,Azerbaijan,AZE
2003-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,-731.0,-145.0,732.0,346.0,386.0,-877.0,-110.0,-1.0,Azerbaijan,AZE
2004-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,-629.0,129.0,1154.0,560.0,594.0,-1025.0,-192.0,-27.0,Azerbaijan,AZE
2005-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,583.0,1615.0,2623.0,2355.0,268.0,-1008.0,-638.0,2.0,Azerbaijan,AZE
2006-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,1745.4219999999998,2366.776,3954.776,3733.43,221.346,-1588.0,-391.0,22.0,Azerbaijan,AZE
2007-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,3123.0,5069.0,6951.0,6680.0,271.0,-1882.0,-1660.0,-17.0,Azerbaijan,AZE
2008-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,1658.0,2265.0,4336.0,4011.0,325.0,-2071.0,-473.0,127.0,Azerbaijan,AZE
2009-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,3220.3869999999997,4652.7609999999995,6300.7609999999995,5951.459,349.302,-1648.0,-844.0,-137.0,Azerbaijan,AZE
2010-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,3052.0,4302.0,6367.0,6002.0,365.0,-2065.0,-867.0,86.0,Azerbaijan,AZE
2011-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,2724.0,4726.0,7643.0,7158.0,485.0,-2917.0,-1008.0,-149.0,Azerbaijan,AZE
2012-01-01,annual,statistical_bulletin_2026_01.xlsx,2026-01-01,14882.0,22181.0,32374.0,30701.0,1673.0,-10193.0,-4128.0,-198.0,Azerbaijan,AZE
2012-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,3453.0,4705.0,7812.0,7258.0,554.0,-3107.0,-840.0,5.0,Azerbaijan,AZE
2013-01-01,annual,statistical_bulletin_2026_01.xlsx,2026-01-01,12318.0,20622.0,31777.0,30003.0,1774.0,-11155.0,-4127.0,6.0,Azerbaijan,AZE
2013-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,3061.0,5213.0,7966.0,7458.0,508.0,-2753.0,-1069.0,0.0,Azerbaijan,AZE
2014-01-01,annual,statistical_bulletin_2026_01.xlsx,2026-01-01,10431.0,18928.0,28260.0,26627.0,1633.0,-9332.0,-3085.0,504.0,Azerbaijan,AZE
2014-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,1139.0,2720.0,5328.0,4875.0,453.0,-2608.0,-353.0,177.0,Azerbaijan,AZE
2015-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,-463.0,510.0,3263.0,2881.0,382.0,-2753.0,-300.0,68.0,Azerbaijan,AZE
2016-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,-251.0,1291.0,3675.0,3299.0,376.0,-2384.0,-645.0,-29.0,Azerbaijan,AZE
2017-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,622.0,1713.0,4360.0,3917.0,443.0,-2647.0,-521.0,22.0,Azerbaijan,AZE
2018-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,963.0,2506.0,5565.0,5098.0,467.0,-3059.0,-1053.0,83.0,Azerbaijan,AZE
2019-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,362.0,1636.0,4848.0,4338.0,510.0,-3212.0,-959.0,345.0,Azerbaijan,AZE
2020-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,-20.0,168.0,2825.0,2270.0,555.0,-2657.0,-79.0,423.0,Azerbaijan,AZE
2021-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,4352.185,4867.227000000001,7799.026,6930.6669999999995,868.359,-2931.7989999999995,-377.3330000000002,123.88200000000003,Azerbaijan,AZE
2022-01-01,quarterly,statistical_bulletin_2026_01.xlsx,2026-01-01,5767.453999999999,7005.1179999999995,10979.79,10079.565,900.2250000000001,-3974.6720000000014,-1411.315,229.21000000000004,Azerbaijan,AZE
