month,cpi_yoy,official_fx_reserves_usd_mn,corridor_ceiling,corridor_floor,refinancing_rate,bank_total_assets_mn_azn,bank_loans_customers_mn_azn,bank_deposits_total_mn_azn,cny_azn,eur_azn,gbp_azn,gel_azn,kzt_azn,rub_azn,try_azn,usd_azn,source_name,load_timestamp
2026-02-01T00:00:00,1057.0,11614.1,,,,,,,0.248,2.008,2.2943,0.6359,0.0034029999999999998,0.022155,0.0387,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2026-01-01T00:00:00,1056.0,11563.5,7.75,5.75,6.75,56935.8171569659,29980.0530416064,36805.3124639315,0.2446,2.0272,2.3378,0.6322,0.0033789999999999996,0.022385000000000002,0.0391,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2025-12-01T00:00:00,1057.0,11514.9,7.75,5.75,6.75,57086.215620103,30063.0489266441,38221.8620835145,0.2428,2.0022,2.297,0.6316,0.003388,0.021714999999999998,0.0396,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2025-11-01T00:00:00,1057.0,11433.8,8.0,6.0,7.0,58748.5747532191,29685.5293014181,37202.0209604421,0.2403,1.97,2.2506,0.6294,0.003293,0.021803,0.04,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2025-10-01T00:00:00,1057.0,11368.3,8.0,6.0,7.0,56341.8769364711,29403.8572825613,36062.9232886501,0.2391,1.9672,2.2367,0.6267,0.003201,0.021247,0.0404,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2025-09-01T00:00:00,1056.0,11310.5,8.0,6.0,7.0,56137.9871083556,29276.3049504384,36587.8213956301,0.2386,1.994,2.2847,0.6271,0.003099,0.020497,0.0409,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2025-08-01T00:00:00,1058.0,11249.4,8.0,6.0,7.0,55672.3521984264,28704.9100952415,36517.82778983,0.2384,1.9829,2.2954,0.632,0.003162,0.021086,0.0413,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2025-07-01T00:00:00,1059.0,11191.2,8.0,6.0,7.0,55700.1160418157,28498.1842470388,36650.8719670601,0.2364,1.944,2.2558,0.6286,0.00313,0.020968,0.0419,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2025-06-01T00:00:00,1059.0,11153.9,8.25,6.25,7.25,56734.138886026,28472.146123892,37353.2787384501,0.2373,1.9944,2.334,0.6243,0.0032679999999999996,0.021616,0.0426,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2025-05-01T00:00:00,1058.0,11094.6,8.25,6.25,7.25,56549.7355935229,28386.5041291972,38179.34208061,0.2365,1.9286,2.2896,0.6222,0.0033439999999999998,0.022033,0.0433,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2025-04-01T00:00:00,1056.0,11062.5,8.25,6.25,7.25,54607.1446844694,28096.5182352674,36747.50657591,0.234,1.9334,2.2762,0.6186,0.0033239999999999997,0.020684,0.0442,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2025-03-01T00:00:00,1054.0,11026.5,8.25,6.25,7.25,54855.6323323299,27877.1196313092,37293.08247945,0.2349,1.8582,2.208,0.6107,0.0034100000000000003,0.020804,0.0463,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2025-02-01T00:00:00,1054.0,10991.8,8.25,6.25,7.25,53561.6503212166,27592.3675533626,37837.0420633144,0.2333,1.7658,2.1392,0.6074,0.003401,0.019384,0.0465,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2025-01-01T00:00:00,1022.0,10988.5,8.25,6.25,7.25,53090.7390050447,27514.7003834497,36960.95548606,0.2347,1.7659,2.1117,0.5934,0.003281,0.017273,0.0474,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2024-12-01T00:00:00,1020.0,10959.5,8.25,6.25,7.25,53001.401722433,27477.6750399549,37696.57678818,0.233,1.7724,2.1382,0.6091,0.0032519999999999997,0.016318,0.0485,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2024-11-01T00:00:00,1017.0,10967.8,8.25,6.25,7.25,50164.6169819184,27368.1476245215,35191.95708259,0.2351,1.7969,2.1606,0.62,0.003317,0.015741,0.049,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2024-10-01T00:00:00,1015.0,11371.7,8.25,6.25,7.25,49697.7509168742,27080.522900335,34373.8624079,0.2388,1.8441,2.2016,0.6188,0.0035,0.0175,0.0496,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2024-09-01T00:00:00,1013.0,11795.8,8.25,6.25,7.25,50840.8393688344,26705.9717719296,36058.8997095,0.2424,1.8976,2.276,0.6227,0.0035,0.0182,0.0497,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2024-08-01T00:00:00,1010.0,11783.5,8.25,6.25,7.25,49567.7459798182,26075.6109116022,35003.89700355,0.2397,1.8826,2.2381,0.6308,0.0035,0.0185,0.0499,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2024-07-01T00:00:00,1007.0,11765.7,8.25,6.25,7.25,49089.2940735877,25694.7094183217,34381.34675928,0.235,1.8405,2.1839,0.6241,0.0036,0.0198,0.0513,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2024-06-01T00:00:00,1006.0,11737.6,8.25,6.25,7.25,50328.1198939158,25429.5170858016,35185.0089389974,0.2339,1.817,2.1461,0.6071,0.0036,0.0199,0.0515,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2024-05-01T00:00:00,1007.0,11713.7,8.25,6.25,7.25,49147.4736620525,25158.1806415733,34835.2178969436,0.2348,1.8391,2.1625,0.6093,0.0038,0.0188,0.0527,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2024-04-01T00:00:00,1010.0,11660.8,8.5,6.25,7.5,49221.614740272,24644.4506134642,35361.12839693,0.2347,1.8199,2.1327,0.6331,0.0038,0.0182,0.0524,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2024-03-01T00:00:00,1013.0,11654.4,8.5,6.25,7.5,48909.9439490516,24102.6134183458,34812.78026017,0.2352,1.832,2.1459,0.6302,0.0038,0.0184,0.0524,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2024-02-01T00:00:00,1017.0,11650.3,8.75,6.25,7.75,48735.6783047223,23833.0192232791,34959.32922598,0.2363,1.8423,2.1538,0.6397,0.0038,0.0186,0.0545,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2024-01-01T00:00:00,1088.0,11637.0,9.0,6.5,8.0,49296.7716533243,23566.3527796957,34995.4089442145,0.2367,1.8395,2.1557,0.6336,0.0038,0.019,0.056,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2023-12-01T00:00:00,1094.0,,9.0,6.5,8.0,49178.1962181531,23182.9536972191,34550.08011601,0.2394,1.8766,2.1643,0.6326,0.0037,0.0188,0.0576,1.7,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2023-11-01T00:00:00,1102.0,,9.5,7.0,8.5,46172.4780341415,22881.2310650231,33225.73951044,,,,,,,,,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2023-10-01T00:00:00,1109.0,,10.0,7.5,9.0,46146.5653068356,22459.7110905145,33081.90132548,,,,,,,,,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2023-09-01T00:00:00,1117.0,,10.0,7.5,9.0,45530.499721911,22281.8843709374,32174.24504365,,,,,,,,,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2023-08-01T00:00:00,1122.0,,10.0,7.5,9.0,45358.6864798887,21814.1871549874,31998.689851,,,,,,,,,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2023-07-01T00:00:00,1127.0,,10.0,7.5,9.0,44880.3317052614,21371.9913058085,31841.10361801,,,,,,,,,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
2023-06-01T00:00:00,1131.0,,10.0,7.5,9.0,45218.2672439127,21296.2361254176,32056.7139322806,,,,,,,,,CBAR / SSC monthly integration,2026-03-22 18:37:55.362721 UTC
