month,bank_total_assets_mn_azn,bank_loans_customers_mn_azn,bank_deposits_total_mn_azn,source_file,bulletin_period
2019-12-01,32722.7715977398,14900.9352388034,21326.682102355,statistical_bulletin_2026_01.xlsx,2026-01-01
2020-01-01,32863.2277802952,15116.37144325,21660.473465005,statistical_bulletin_2026_01.xlsx,2026-01-01
2020-02-01,33195.9014296162,15299.1083943646,21790.705627815,statistical_bulletin_2026_01.xlsx,2026-01-01
2020-03-01,32218.9088684763,15232.7323706056,20586.610487645,statistical_bulletin_2026_01.xlsx,2026-01-01
2020-04-01,31272.7825079341,14742.1609655675,19940.056643235,statistical_bulletin_2026_01.xlsx,2026-01-01
2020-05-01,31260.7900897493,14361.0200163117,19949.349668735,statistical_bulletin_2026_01.xlsx,2026-01-01
2020-06-01,30541.0312492332,14169.7916186724,19381.768847375,statistical_bulletin_2026_01.xlsx,2026-01-01
2020-07-01,30503.4660405936,14204.4497066817,19367.366617525,statistical_bulletin_2026_01.xlsx,2026-01-01
2020-08-01,31065.9338888426,14304.2281735577,19569.724060205,statistical_bulletin_2026_01.xlsx,2026-01-01
2020-09-01,30618.9290287773,14497.027014688,19377.42561398,statistical_bulletin_2026_01.xlsx,2026-01-01
2020-10-01,30685.0920572853,14409.3148820396,19407.5378319,statistical_bulletin_2026_01.xlsx,2026-01-01
2020-11-01,30742.9709196627,14304.6445922701,19312.72495572,statistical_bulletin_2026_01.xlsx,2026-01-01
2020-12-01,32055.3092580924,14156.9795354268,20722.93952758,statistical_bulletin_2026_01.xlsx,2026-01-01
2021-01-01,31944.8172444633,14213.6955625211,20292.943368155,statistical_bulletin_2026_01.xlsx,2026-01-01
2021-02-01,32203.4462034883,14246.0991235827,20653.798704295,statistical_bulletin_2026_01.xlsx,2026-01-01
2021-03-01,32521.4041982682,14352.3548978935,21050.493444495,statistical_bulletin_2026_01.xlsx,2026-01-01
2021-04-01,32796.6888263289,14611.8145951636,21357.134023875,statistical_bulletin_2026_01.xlsx,2026-01-01
2021-05-01,33810.7274731743,14691.3991570105,22065.495127665,statistical_bulletin_2026_01.xlsx,2026-01-01
2021-06-01,33069.8575937189,14856.8897800316,22125.043188645,statistical_bulletin_2026_01.xlsx,2026-01-01
2021-07-01,33668.1310075811,14966.4982082432,22849.282289865,statistical_bulletin_2026_01.xlsx,2026-01-01
2021-08-01,33426.7443815316,15206.8490947091,22749.7103696748,statistical_bulletin_2026_01.xlsx,2026-01-01
2021-09-01,34526.5419562583,15538.6690580326,23650.040902735,statistical_bulletin_2026_01.xlsx,2026-01-01
2021-10-01,34963.5540866188,15997.2909059599,24026.1527052054,statistical_bulletin_2026_01.xlsx,2026-01-01
2021-11-01,35604.461453451,16281.9655474426,24743.616630135,statistical_bulletin_2026_01.xlsx,2026-01-01
2021-12-01,38462.2119410578,16659.1139423282,26938.315908054,statistical_bulletin_2026_01.xlsx,2026-01-01
2022-01-01,37982.2603471633,16781.4390748453,26954.0384782113,statistical_bulletin_2026_01.xlsx,2026-01-01
2022-02-01,38483.4250642778,17126.5332114057,27055.5158204,statistical_bulletin_2026_01.xlsx,2026-01-01
