period_date,period_type,source_file,bulletin_period,business_loans_total_mn_azn,large_business_loans_mn_azn,medium_business_loans_mn_azn,small_business_loans_mn_azn,micro_business_loans_mn_azn,country_name,country_iso
2023-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11170.8055462252,4965.0949600451995,2322.2037081,1774.3409387999998,2109.16593928,Azerbaijan,AZE
2023-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11650.5031040751,5312.90699351369,2451.67204484,1751.19557355,2134.68767644,Azerbaijan,AZE
2023-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11622.6887628389,5307.997047445,2444.343483936,1662.782720638,2207.5316801900003,Azerbaijan,AZE
2023-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11821.7917712836,5311.447272933,2492.80921256,1720.9657457600001,2296.53699877,Azerbaijan,AZE
2023-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,12078.6747372461,5412.302128159,2525.857220085,1727.42746092,2413.060191722,Azerbaijan,AZE
2023-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,12246.3869346131,5722.250375627628,2313.99519267199,1681.41051199548,2528.7308543179997,Azerbaijan,AZE
2023-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,12421.2469256614,5890.853875798,2288.76154846,1618.74601574,2622.8723848,Azerbaijan,AZE
2023-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,12616.7871148364,6251.7,2149.65,1585.5,2629.9,Azerbaijan,AZE
2024-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,12912.9167529946,6849.818964169999,1884.59871333,1546.3247116799998,2632.1747660300002,Azerbaijan,AZE
2024-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,13063.7357667661,7094.281928279999,1794.60333446,1501.4793211699998,2673.31503999,Azerbaijan,AZE
2024-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,13201.5398289959,7341.583046845,1716.8464312896801,1464.15720611584,2678.944209418,Azerbaijan,AZE
2024-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,13476.3615803586,7673.186493630001,1608.04953559,1433.95396787,2761.15206531,Azerbaijan,AZE
2024-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,13784.7291126028,7927.83491436,1676.02115299,1449.69779284,2731.17617083,Azerbaijan,AZE
2024-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,13874.8209794241,7965.023061364,1717.86073813938,1448.55691510564,2743.28169092,Azerbaijan,AZE
2024-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,13910.0901510551,7886.1,1735.7,1515.9,2772.4,Azerbaijan,AZE
2024-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,13999.8433346194,7848.0266938760005,1747.37384272139,1522.3283732300001,2882.11388993,Azerbaijan,AZE
2024-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,14407.8515522007,8133.803874339999,1750.22874236,1571.90756401,2951.9114658,Azerbaijan,AZE
2024-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,14628.1487400218,8236.3,1795.1,1572.6,3024.1,Azerbaijan,AZE
2024-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,14746.6828072006,8290.918884299661,1829.82803018291,1535.6748802167701,3090.2659858479997,Azerbaijan,AZE
2024-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,14787.1851946734,8297.33309396102,1834.0254177429101,1548.56800767147,3107.258675298,Azerbaijan,AZE
2025-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,14709.9177021613,8255.68080449788,1865.41596229382,1540.2814087916,3048.539526578,Azerbaijan,AZE
2025-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,14776.9784619727,8332.2253395448,1947.85861000532,1488.91378583288,3007.978940368,Azerbaijan,AZE
2025-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,14935.0383741286,8361.19527682948,1970.20813049601,1531.4205376850098,3072.212841388,Azerbaijan,AZE
2025-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,14952.6763686257,8399.10816580209,1903.9794158640002,1516.03310230641,3133.55536545467,Azerbaijan,AZE
2025-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,15099.9752762721,8486.53333981652,1919.215146364,1504.6650339011999,3189.56169062828,Azerbaijan,AZE
