month,payment_cards_total_thousand,payment_cards_contactless_thousand,debit_social_cards_thousand,debit_salary_cards_thousand,debit_other_cards_thousand,credit_cards_thousand,card_txn_count_thousand,card_txn_amount_mn_azn,cash_withdrawal_atm_count_thousand,cash_withdrawal_atm_amount_mn_azn,cash_withdrawal_pos_count_thousand,cash_withdrawal_pos_amount_mn_azn,non_cash_atm_count_thousand,non_cash_atm_amount_mn_azn,non_cash_pos_count_thousand,non_cash_pos_amount_mn_azn,contactless_pos_count_thousand,contactless_pos_amount_mn_azn,ecommerce_count_thousand,ecommerce_amount_mn_azn,self_service_terminal_count_thousand,self_service_terminal_amount_mn_azn,source_file,bulletin_period,country_name,country_iso,source_name,load_timestamp
2010-01-01,4016.0,,2396.0,1183.0,321.0,116.0,2268.0,293.0,2038.0,243.0,19.0,16.0,52.0,3.0,34.0,6.0,,,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.5,2026-03-23 03:14:45.145178+00:00
2010-02-01,4049.0,,2403.0,1195.0,333.0,118.0,4008.0,494.0,3743.0,443.0,46.0,18.0,66.0,4.0,32.0,6.0,,,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.5,2026-03-23 03:14:45.145178+00:00
2010-03-01,4058.0,,2405.0,1191.0,348.0,114.0,4967.0,613.0,4638.0,549.0,52.0,23.0,80.0,5.0,41.0,6.0,,,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.5,2026-03-23 03:14:45.145178+00:00
2010-04-01,4105.0,,2426.0,1205.0,351.0,123.0,3426.0,434.0,3154.0,381.0,32.0,21.0,74.0,5.0,43.0,5.0,,,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.5,2026-03-23 03:14:45.145178+00:00
2010-05-01,4120.0,,2428.0,1202.0,363.0,127.0,3972.0,498.0,3661.0,440.0,37.0,21.0,85.0,5.0,57.0,5.0,,,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.5,2026-03-23 03:14:45.145178+00:00
2010-06-01,4148.0,,2437.0,1215.0,367.0,129.0,3499.0,454.0,3213.0,400.0,28.0,18.0,83.0,5.0,45.0,6.0,,,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.5,2026-03-23 03:14:45.145178+00:00
2010-07-01,4155.0,,2431.0,1220.0,374.0,130.0,4343.0,573.0,4032.0,512.0,40.0,21.0,83.0,6.0,45.0,6.0,,,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.5,2026-03-23 03:14:45.145178+00:00
2010-08-01,4051.0,,2292.0,1215.0,413.0,131.0,3509.0,456.0,3190.0,387.0,31.0,24.0,77.0,6.0,46.0,5.0,,,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.5,2026-03-23 03:14:45.145178+00:00
2010-09-01,4059.0,,2263.0,1234.0,426.0,136.0,3804.0,491.0,3478.0,423.0,41.0,25.0,75.0,6.0,45.0,6.0,,,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.5,2026-03-23 03:14:45.145178+00:00
2010-10-01,4103.0,,2319.0,1231.0,419.0,134.0,3910.0,509.0,3579.0,445.0,37.0,20.0,80.0,7.0,49.0,6.0,,,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.5,2026-03-23 03:14:45.145178+00:00
