period_date,period_type,business_loans_total_mn_azn,large_business_loans_mn_azn,medium_business_loans_mn_azn,small_business_loans_mn_azn,micro_business_loans_mn_azn,country_name,country_iso,real_sector_loans_total_mn_azn,real_sector_overdue_loans_mn_azn,real_sector_overdue_share_pct,trade_and_services_loans_mn_azn,mining_utilities_loans_mn_azn,agriculture_loans_mn_azn,construction_loans_mn_azn,industry_manufacturing_loans_mn_azn,transport_communication_loans_mn_azn,households_loans_mn_azn,real_estate_mortgage_loans_mn_azn,other_sectors_loans_mn_azn,npl_total_mn_azn,npl_business_mn_azn,npl_consumer_mn_azn,npl_mortgage_mn_azn,deposit_avg_rate_azn_pct,deposit_legal_rate_azn_pct,deposit_individual_rate_azn_pct,loan_avg_rate_azn_pct,loan_legal_rate_azn_pct,loan_individual_rate_azn_pct,deposit_avg_rate_fx_pct,deposit_legal_rate_fx_pct,deposit_individual_rate_fx_pct,loan_avg_rate_fx_pct,loan_legal_rate_fx_pct,loan_individual_rate_fx_pct,notices_entered_count,searches_count,source_name,load_timestamp
2000-01-01,annual,,,,,,Azerbaijan,AZE,466.5,,,76.457,15.954,36.938,12.934,15.74,70.42,41.737,,46.86,,,,,,,,,,,,,,,,,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2001-01-01,annual,,,,,,Azerbaijan,AZE,486.2,134.4,27.642945290004118,85.614,33.827,14.57,9.013,15.736,69.056,54.901,,11.237,,,,,,,,,,,,,,,,,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2002-01-01,annual,,,,,,Azerbaijan,AZE,520.16,111.6,21.45493694247924,102.235,44.142,19.875,14.907,15.682,57.0,83.267,,22.888999999999946,,,,,,,,,,,,,,,,,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2003-01-01,annual,,,,,,Azerbaijan,AZE,670.3,124.4,18.558854244368195,112.5302,38.8714,30.1772,30.2534,43.5858,57.128,142.948,,29.63070437349998,,,,,,,,,,,,,,,,,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2003-01-01,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,,,,,8.28,7.6,9.03,15.59,16.02,14.77,9.34,4.59,11.75,12.79,10.97,21.43,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2004-01-01,annual,,,,,,Azerbaijan,AZE,989.5,109.0,11.01566447700859,217.6,24.4,56.2,46.4,65.7,149.593,276.9,,1.2913999999999861,,,,,,,,,,,,,,,,,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2004-01-01,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,,,,,6.5,5.66,9.31,14.91,15.04,14.63,10.08,5.84,11.11,18.43,17.05,22.24,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2005-01-01,annual,,,,,,Azerbaijan,AZE,1441.0,68.2,4.732824427480916,361.002,181.357,97.6,82.235,83.346,128.161,389.2,,11.591199999999985,,,,,,,,,,,,,,,,,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2005-01-01,monthly,,,,,,Azerbaijan,AZE,970.3,106.8,11.006905080902813,232.776,31.518,57.06,47.747,66.635,111.805,280.1,,-22.835536276760088,,,,,6.93,5.89,9.61,15.55,16.06,14.22,9.43,5.58,10.53,18.96,17.12,22.89,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
2005-02-01,monthly,,,,,,Azerbaijan,AZE,1018.0,106.6,10.471512770137524,245.197,37.078,57.3,49.6,68.144,129.891,289.8,,-22.390532717060022,,,,,7.37,6.29,9.32,16.03,16.32,15.25,10.02,6.47,10.43,18.96,17.39,22.6,,,Azerbaijan credit access and stability gold mart,2026-03-23 03:24:28.309385+00:00
