month,bank_customers_total_people,bank_customers_individuals_people,bank_customers_individual_entrepreneurs_people,bank_customers_legal_entities_people,customer_accounts_total_count,customer_accounts_transaction_count,customer_accounts_credit_count,customer_accounts_deposit_count,transaction_accounts_individuals_count,transaction_accounts_individual_entrepreneurs_count,transaction_accounts_legal_entities_count,internet_banking_users_count,internet_banking_legal_entities_count,mobile_banking_users_count,mobile_banking_legal_entities_count,source_file,bulletin_period,country_name,country_iso,source_name,load_timestamp
2009-12-01,1941067,1870679,37190,70388,2262771,2062134,,200637,1979434,41530,82700,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2010-01-01,1982853,1911512,37647,71341,2308743,2100858,,207885,2017075,41723,83783,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2010-02-01,2032673,1959886,38333,72787,2367720,2150296,,217424,2065387,42540,84909,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2010-03-01,2071691,1996066,44110,75625,2426570,2202328,,224242,2118964,48723,83364,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2010-04-01,2125741,2045974,50799,79767,2460337,2229516,,230821,2142588,55586,86928,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2010-05-01,2192577,2111006,51389,81571,2537995,2291771,,241315,2205517,56321,88134,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2010-06-01,2247948,2165001,51983,82947,2626128,2375528,,250600,2285951,57031,89577,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2010-07-01,2322626,2238188,53076,84438,2712546,2451885,,260661,2361082,57926,90803,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2010-08-01,2382378,2297127,53567,85251,2798023,2530124,,267899,2438274,63333,91850,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2010-09-01,2383798,2383798,52936,82818,2837109,2560042,,277067,2468994,62200,91048,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2010-10-01,2503316,2415053,64766,88263,2975397,2683341,,292056,2589037,64766,94304,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2010-11-01,2546604,2457313,54479,89291,3057713,2757026,,300687,2661913,64616,95113,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2010-12-01,2588957,2494325,57965,94632,3173876,2896583,,277293,2772884,68717,123699,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2011-01-01,2532935,2449042,46450,83893,3273522,3009183,,264339,2885233,62677,123950,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2011-02-01,2576435,2493277,44825,83158,3217098,2944542,,272556,2823337,61019,121205,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2011-03-01,2551432,2468503,41358,82929,3299264,3018754,,280510,2897219,60102,121535,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2011-04-01,2497754,2415694,41759,82060,3294808,3006587,,288221,2886039,62954,120548,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2011-05-01,2582960,2498982,43583,83978,3411641,3120003,,291638,2996137,64686,123866,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2011-06-01,2658675,2574312,44677,84363,3516574,3217030,,299544,3096908,66435,120122,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2011-07-01,2664188,2577896,45622,86292,3615651,3308956,,306695,3180614,67479,128342,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2011-08-01,2746704,2660204,46097,86500,3687878,3373043,,314835,3243111,66949,129932,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2011-09-01,2732671,2645243,46367,87428,3692107,3367163,,324944,3234314,66865,132849,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2011-10-01,2821827,2736328,52053,85499,3896163,3566494,,329669,3431999,68612,134495,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2011-11-01,2868688,2783452,52678,85236,3988446,3650090,,338356,3515624,69417,134466,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2011-12-01,2916678,2831807,53175,84871,4077125,3730551,,346574,3604632,70791,125919,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2012-01-01,2912461,2829041,52803,83420,4146445,3786037,,360408,3648841,70812,137196,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2012-02-01,2948643,2864224,56881,84419,4236074,3870516,,365558,3731715,75139,138801,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2012-03-01,3002854,2917672,60914,85182,4345888,3970480,,375408,3830047,79374,140433,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2012-04-01,3068357,2981865,65497,86492,4478163,4097355,,380808,3952487,82942,144868,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2012-05-01,3223003,3127593,67957,95411,4723638,4331798,,391840,4180423,86888,151375,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2012-06-01,3290332,3194176,69007,96157,4838585,4444123,,394462,4299611,87921,144512,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2012-07-01,3265944,3177283,67593,88662,4918895,4522489,,396406,4380219,85240,142270,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2012-08-01,3303798,3214431,68221,89368,5046228,4643638,,402590,4492485,86016,151153,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2012-09-01,3402481,3312173,69916,90309,5221689,4811365,,410324,4658566,87863,152799,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
2012-10-01,3491747,3400605,70950,91142,5425651,5008463,,417188,4854085,89231,154378,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.7,2026-03-23 03:20:55.661429+00:00
