period_date,period_type,rtgs_txn_count_thousand,rtgs_txn_amount_mn_azn,rtgs_avg_amount_thousand_azn,lvpcss_txn_count_thousand,lvpcss_txn_amount_mn_azn,lvpcss_avg_amount_azn,ips_txn_count_thousand,ips_txn_amount_mn_azn,country_name,country_iso,atm_total_units,atm_baku_units,atm_regions_units,pos_total_units,contactless_pos_total_units,retail_service_pos_total_units,retail_service_pos_baku_units,baku_pos_total_units,payment_cards_total_thousand,payment_cards_contactless_thousand,debit_social_cards_thousand,debit_salary_cards_thousand,debit_other_cards_thousand,credit_cards_thousand,card_txn_count_thousand,card_txn_amount_mn_azn,cash_withdrawal_atm_count_thousand,cash_withdrawal_atm_amount_mn_azn,cash_withdrawal_pos_count_thousand,cash_withdrawal_pos_amount_mn_azn,non_cash_atm_count_thousand,non_cash_atm_amount_mn_azn,non_cash_pos_count_thousand,non_cash_pos_amount_mn_azn,contactless_pos_count_thousand,contactless_pos_amount_mn_azn,ecommerce_count_thousand,ecommerce_amount_mn_azn,self_service_terminal_count_thousand,self_service_terminal_amount_mn_azn,bank_customers_total_people,bank_customers_individuals_people,bank_customers_individual_entrepreneurs_people,bank_customers_legal_entities_people,customer_accounts_total_count,customer_accounts_transaction_count,customer_accounts_credit_count,customer_accounts_deposit_count,transaction_accounts_individuals_count,transaction_accounts_individual_entrepreneurs_count,transaction_accounts_legal_entities_count,internet_banking_users_count,internet_banking_legal_entities_count,mobile_banking_users_count,mobile_banking_legal_entities_count,source_name,load_timestamp
2001-01-01,year,341.662,2762.056,8.084176759487447,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan digital finance gold mart,2026-03-23 03:51:52.437727+00:00
2002-01-01,year,387.5,5408.633,13.957762580645161,20.158,8.688,430.995138406588,,,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan digital finance gold mart,2026-03-23 03:51:52.437727+00:00
2003-01-01,year,368.286,7819.88,21.233172045638444,338.444,278.095,821.6868965028187,,,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan digital finance gold mart,2026-03-23 03:51:52.437727+00:00
2004-01-01,year,369.695,10164.429,27.494093780007844,538.374,679.368,1261.888575599862,,,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan digital finance gold mart,2026-03-23 03:51:52.437727+00:00
2005-01-01,month,21.706,806.188,37.1412512669308,41.203,64.038,1554.207217921025,,,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan digital finance gold mart,2026-03-23 03:51:52.437727+00:00
2005-01-01,year,316.061,13484.718,42.664922277661596,754.49,1213.663,1608.5872576177285,,,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan digital finance gold mart,2026-03-23 03:51:52.437727+00:00
2005-02-01,month,23.891,965.538,40.41429827131556,47.812,74.844,1565.381075880532,,,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan digital finance gold mart,2026-03-23 03:51:52.437727+00:00
2005-03-01,month,26.603,1211.055,45.52324925760252,61.056,94.077,1540.8313679245282,,,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan digital finance gold mart,2026-03-23 03:51:52.437727+00:00
2005-04-01,month,25.191,1039.665,41.271287364534956,59.525,92.593,1555.5312893742125,,,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan digital finance gold mart,2026-03-23 03:51:52.437727+00:00
2005-05-01,month,25.115,1010.268,40.225681863428235,64.225,103.105,1605.3717399766447,,,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan digital finance gold mart,2026-03-23 03:51:52.437727+00:00
