period_date,period_type,nominal_gdp_mn_azn,real_gdp_growth_pct,gdp_deflator_pct,non_oil_gdp_mn_azn,non_oil_gdp_growth_pct,capital_investment_mn_azn,capital_investment_growth_pct,nominal_income_mn_azn,nominal_income_growth_pct,avg_monthly_wage_azn,avg_monthly_wage_growth_pct,cpi_monthly_pct,cpi_12m_pct,cpi_annual_avg_pct,country_name,country_iso,current_account_balance_mn_usd,trade_balance_mn_usd,goods_exports_total_mn_usd,oil_gas_exports_mn_usd,other_exports_mn_usd,goods_imports_total_mn_usd,oil_gas_imports_mn_usd,other_imports_mn_usd,total_exports_ths_usd,exports_yoy_pct,exports_non_cis_ths_usd,exports_non_cis_yoy_pct,exports_cis_ths_usd,exports_cis_yoy_pct,total_imports_ths_usd,imports_yoy_pct,source_name,load_timestamp
1995-01-01,annual,2133.8,88.2,,,,227.96,187.01,1313.98,,13.4,,4.7,,411.8,Azerbaijan,AZE,-400.0,-373.0,612.0,305.0,307.0,-985.0,-64.0,-6.0,612343.0,89.8,339297.0,93.6,273046.0,85.6,985432.0,115.8,Azerbaijan economic diversification gold mart,2026-03-23 04:03:41.539378+00:00
1996-01-01,annual,2732.6,101.3,,,,644.5,282.7,1708.18,130.0,18.72,139.5,1.7,,19.9,Azerbaijan,AZE,-931.0,-694.0,644.0,416.0,228.0,-1338.0,-14.0,2.0,643669.0,105.1,343717.0,101.3,299952.0,109.9,1337583.0,135.7,Azerbaijan economic diversification gold mart,2026-03-23 04:03:41.539378+00:00
1997-01-01,annual,3158.2,105.8,,,,910.2,141.2,2473.22,177.78,28.33,151.33,-0.2,,3.7,Azerbaijan,AZE,-915.0,-567.0,808.0,453.0,355.0,-1375.0,-19.0,10.0,808257.0,125.57028534852542,427920.0,124.4977699677351,380337.0,126.79928788606176,1375164.0,102.80962003853217,Azerbaijan economic diversification gold mart,2026-03-23 04:03:41.539378+00:00
1998-01-01,annual,3440.6,110.0,,,,1102.4,121.1,2849.16,115.2,33.72,119.0,-5.9,,-0.7999999999999972,Azerbaijan,AZE,-1364.0,-1046.0,678.0,436.0,242.0,-1724.0,-27.0,14.0,677751.0,83.85340306362951,434332.0,101.4984109179286,243419.0,64.0008729100771,1723903.0,125.35981162974016,Azerbaijan economic diversification gold mart,2026-03-23 04:03:41.539378+00:00
1998-04-01,quarterly,,,,,,,,,,,,,,,Azerbaijan,AZE,,,,,,,,,200803.0,119.4,74621.0,89.6,126182.0,148.7,448913.0,124.8,Azerbaijan economic diversification gold mart,2026-03-23 04:03:41.539378+00:00
1998-10-01,quarterly,,,,,,,,,,,,,,,Azerbaijan,AZE,,,,,,,,,166064.0,71.9,225475.0,245.7,-59411.0,42.7,472615.0,135.3,Azerbaijan economic diversification gold mart,2026-03-23 04:03:41.539378+00:00
1999-01-01,annual,3775.0,107.4,,,,928.5,84.2,3227.38,113.2,36.85,109.28,0.4,,-8.5,Azerbaijan,AZE,-600.0,-408.0,1025.0,801.0,224.0,-1433.0,-51.0,6.0,1025231.0,151.2695665517277,803837.0,185.07432102631168,221394.0,90.95181559368825,1433392.0,83.14806575543983,Azerbaijan economic diversification gold mart,2026-03-23 04:03:41.539378+00:00
1999-04-01,quarterly,,,,,,,,,,,,,,,Azerbaijan,AZE,,,,,,,,,253582.0,126.28396986100805,189190.0,253.53452781388617,64392.0,51.03105038753546,416663.0,92.81597993375108,Azerbaijan economic diversification gold mart,2026-03-23 04:03:41.539378+00:00
1999-10-01,quarterly,,,,,,,,,,,,,,,Azerbaijan,AZE,,,,,,,,,457513.0,275.5040225455246,382943.0,169.83834127952102,74570.0,-125.5154769318813,373256.0,78.9767569797827,Azerbaijan economic diversification gold mart,2026-03-23 04:03:41.539378+00:00
2000-01-01,annual,4718.2,111.1,,3055.8,109.9,967.8,104.2,3511.36,108.8,44.32,120.2,0.6,,1.8,Azerbaijan,AZE,-168.0,319.0,1858.0,1579.0,279.0,-1539.0,-361.0,26.0,1858335.0,181.2601257667784,1594131.0,198.31520569468685,264204.0,119.33656738665005,1539005.0,107.36804726132138,Azerbaijan economic diversification gold mart,2026-03-23 04:03:41.539378+00:00
