period_date,period_type,source_file,bulletin_period,deposit_avg_rate_azn_pct,deposit_legal_rate_azn_pct,deposit_individual_rate_azn_pct,loan_avg_rate_azn_pct,loan_legal_rate_azn_pct,loan_individual_rate_azn_pct,deposit_avg_rate_fx_pct,deposit_legal_rate_fx_pct,deposit_individual_rate_fx_pct,loan_avg_rate_fx_pct,loan_legal_rate_fx_pct,loan_individual_rate_fx_pct,country_name,country_iso
2003-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.28,7.6,9.03,15.59,16.02,14.77,9.34,4.59,11.75,12.79,10.97,21.43,Azerbaijan,AZE
2004-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,6.5,5.66,9.31,14.91,15.04,14.63,10.08,5.84,11.11,18.43,17.05,22.24,Azerbaijan,AZE
2005-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,6.93,5.89,9.61,15.55,16.06,14.22,9.43,5.58,10.53,18.96,17.12,22.89,Azerbaijan,AZE
2005-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,7.37,6.29,9.32,16.03,16.32,15.25,10.02,6.47,10.43,18.96,17.39,22.6,Azerbaijan,AZE
2005-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,7.23,6.29,8.95,15.34,15.22,15.6,10.01,6.68,10.41,18.63,17.24,21.87,Azerbaijan,AZE
2005-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,6.9,6.09,8.88,15.69,15.53,16.17,9.93,6.72,10.35,18.65,17.22,21.86,Azerbaijan,AZE
2005-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,7.31,6.45,9.07,16.19,15.95,16.96,9.77,6.46,10.33,18.49,16.87,21.96,Azerbaijan,AZE
2005-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,7.54,6.53,9.59,15.74,15.17,17.27,9.8,6.47,10.31,18.43,16.81,21.75,Azerbaijan,AZE
2005-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,7.52,6.3,9.66,16.33,15.4,18.65,9.99,6.6,10.52,18.28,16.47,21.75,Azerbaijan,AZE
2005-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.03,6.54,10.11,15.97,14.88,18.5,10.91,6.66,11.01,18.24,16.56,21.56,Azerbaijan,AZE
2005-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.1,6.44,9.91,15.81,14.8,18.28,10.0,7.1,10.45,17.63,15.91,21.49,Azerbaijan,AZE
2005-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.061421933492893,6.56,10.19,15.660094178342705,14.960336743803863,17.55832537120523,10.220547650525372,7.46,10.62,17.5268407112422,15.82628791593832,21.223970574414952,Azerbaijan,AZE
2005-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.160956487688454,6.648033109297902,10.35720870121054,15.573715104518687,15.078683665722473,17.02503970405281,10.319637957820659,7.731448601835054,10.66439951871635,17.280614826569646,15.645114164613263,20.97911079057186,Azerbaijan,AZE
2005-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.414817839484371,7.05,10.422085563422144,15.624518162033617,14.782822943258052,18.005412112681796,10.178527504086118,6.770929147064026,10.753455432885044,17.438986705997205,15.744984857192614,21.186121510474702,Azerbaijan,AZE
2006-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.918581315234313,7.406485775261797,10.7,15.144352743166559,14.358888795352891,17.356171419984918,10.187015327247307,6.827348397187522,10.71,17.109675437909097,15.368755212792308,21.30554880278771,Azerbaijan,AZE
2006-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.851610944628595,7.213397291815142,10.74,15.540641253059201,14.583627497138178,18.219189184615253,10.371434055040151,6.794304214793157,10.88,17.473877674577377,15.856708429460477,20.898533558302848,Azerbaijan,AZE
2006-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,9.488048305274782,8.053456241525215,11.029584083069281,16.033045886478778,14.990661647203023,18.901516662972824,10.717757360098522,8.42410477559583,10.938439396149164,18.16152448296444,16.11741380650526,21.857088071315836,Azerbaijan,AZE
2006-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.506228710036384,8.892202466207143,11.810650391799564,15.74050820202392,14.753087078779707,18.465912303758866,10.992092862441837,8.647979791489973,11.18800192334688,17.923410596244537,15.881153750105765,21.739713816162308,Azerbaijan,AZE
2006-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.978901970427007,9.955959758179482,11.794225129843484,15.843438145856622,14.770511569533927,19.022665918719085,10.744750484707557,6.977727653226845,11.156915667641059,17.77529163601935,15.802690471919322,21.74172746739119,Azerbaijan,AZE
2006-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.89,9.5,11.88,15.83,14.52,19.24,10.84,7.41,11.2,17.53,15.47,21.64,Azerbaijan,AZE
2006-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.956563254378409,8.88416198704787,12.285445267172477,15.848713303456487,14.465544119024944,19.52979239733263,11.022342188044044,7.361853435058743,11.345418678018929,17.504595618916124,15.311010153917714,21.7308967413027,Azerbaijan,AZE
2006-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.857274328192288,8.611385177727067,12.121279826851636,16.045133774254037,14.74296659308003,19.594459491261173,11.148588439466153,7.740503263799892,11.429867077598477,17.457490939544698,15.329563799085761,21.693348245793015,Azerbaijan,AZE
2006-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.02721339764839,8.987792078930184,12.111721799915449,16.308161770610234,14.888638408100737,19.9525166062943,11.05920263199787,6.725873009416133,11.465307921816963,17.147342819669948,15.053588671866944,21.55685497155304,Azerbaijan,AZE
2006-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.7167799559739,8.566663850249306,11.96345598334665,16.247945830899106,14.762258523511882,19.918664445107115,11.470580449764423,7.225896526136463,11.821780452865452,17.154112452122174,15.022932249551328,21.671710246132637,Azerbaijan,AZE
2006-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.460332231923816,8.276632751326392,12.09140819408622,16.30729617772032,14.856727930431928,19.547893316205375,11.296443751155259,6.789622761841817,11.665148380184625,16.825046102604883,14.757189231621728,21.28914671904631,Azerbaijan,AZE
2006-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.468600119025336,8.216465846451461,12.075913805543339,16.31794494021854,14.747894136255614,19.584366387824222,11.340902771924531,6.742173563071452,11.695936618144469,16.984793797877586,14.872920886460719,21.401173283283384,Azerbaijan,AZE
2007-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.39,8.4,11.76,16.498405055180786,14.890413977526155,20.103582681719313,11.58,8.5,11.75,17.17299296589952,14.807701386018321,21.818686142101775,Azerbaijan,AZE
2007-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.41,8.53,11.81,16.232,14.91,19.03,11.51,7.66,11.75,16.63,14.56,21.07,Azerbaijan,AZE
