period_date,period_type,source_file,bulletin_period,notices_entered_count,searches_count,country_name,country_iso
2020-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,314.0,377.0,Azerbaijan,AZE
2020-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,700.0,808.0,Azerbaijan,AZE
2020-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,352.0,610.0,Azerbaijan,AZE
2020-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,193.0,324.0,Azerbaijan,AZE
2020-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,319.0,372.0,Azerbaijan,AZE
2020-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,429.0,407.0,Azerbaijan,AZE
2020-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,682.0,854.0,Azerbaijan,AZE
2020-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,1051.0,993.0,Azerbaijan,AZE
2020-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,1782.0,1238.0,Azerbaijan,AZE
2020-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,1660.0,1285.0,Azerbaijan,AZE
2020-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,1327.0,1162.0,Azerbaijan,AZE
2020-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,1772.0,1451.0,Azerbaijan,AZE
2021-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,1384.0,1010.0,Azerbaijan,AZE
2021-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,1422.0,1255.0,Azerbaijan,AZE
2021-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,2100.0,1548.0,Azerbaijan,AZE
2021-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,2813.0,1835.0,Azerbaijan,AZE
2021-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,2466.0,1609.0,Azerbaijan,AZE
2021-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,2596.0,1668.0,Azerbaijan,AZE
2021-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,2482.0,1618.0,Azerbaijan,AZE
2021-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,3178.0,1639.0,Azerbaijan,AZE
2021-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,2919.0,1722.0,Azerbaijan,AZE
2021-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,2981.0,1636.0,Azerbaijan,AZE
2021-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,2882.0,1486.0,Azerbaijan,AZE
2021-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,2924.0,1773.0,Azerbaijan,AZE
2022-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,2452.0,1165.0,Azerbaijan,AZE
2022-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,2916.0,1495.0,Azerbaijan,AZE
2022-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,3001.0,1628.0,Azerbaijan,AZE
2022-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,3404.0,1935.0,Azerbaijan,AZE
2022-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,3033.0,1716.0,Azerbaijan,AZE
2022-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,3127.0,1737.0,Azerbaijan,AZE
2022-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,2750.0,2133.0,Azerbaijan,AZE
2022-08-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,3476.0,2292.0,Azerbaijan,AZE
2022-09-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,4136.0,2699.0,Azerbaijan,AZE
2022-10-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,6097.0,2867.0,Azerbaijan,AZE
2022-11-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,5562.0,2179.0,Azerbaijan,AZE
2022-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,7470.0,3762.0,Azerbaijan,AZE
2023-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,4083.0,2024.0,Azerbaijan,AZE
2023-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,4439.0,1973.0,Azerbaijan,AZE
2023-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,4284.0,2540.0,Azerbaijan,AZE
2023-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,5176.0,2312.0,Azerbaijan,AZE
2023-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,5805.0,2286.0,Azerbaijan,AZE
2023-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,5997.0,3597.0,Azerbaijan,AZE
