period_date,period_type,rtgs_txn_count_thousand,rtgs_txn_amount_mn_azn,rtgs_avg_amount_thousand_azn,lvpcss_txn_count_thousand,lvpcss_txn_amount_mn_azn,lvpcss_avg_amount_azn,ips_txn_count_thousand,ips_txn_amount_mn_azn,source_file,bulletin_period,country_name,country_iso,source_name,load_timestamp
2001-01-01,annual,341.662,2762.056,8.084176759487447,,,,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2002-01-01,annual,387.5,5408.633,13.957762580645161,20.158,8.688,430.995138406588,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2003-01-01,annual,368.286,7819.88,21.233172045638444,338.444,278.095,821.6868965028187,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2004-01-01,annual,369.695,10164.429,27.494093780007844,538.374,679.368,1261.888575599862,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-01-01,annual,316.061,13484.718,42.664922277661596,754.49,1213.663,1608.5872576177285,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-01-01,monthly,21.706,806.188,37.1412512669308,41.203,64.038,1554.207217921025,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-02-01,monthly,23.891,965.538,40.41429827131556,47.812,74.844,1565.381075880532,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-03-01,monthly,26.603,1211.055,45.52324925760252,61.056,94.077,1540.8313679245282,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-04-01,monthly,25.191,1039.665,41.271287364534956,59.525,92.593,1555.5312893742125,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-05-01,monthly,25.115,1010.268,40.225681863428235,64.225,103.105,1605.3717399766447,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-06-01,monthly,26.45,1034.73,39.12022684310019,64.109,106.193,1656.4444929729057,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-07-01,monthly,26.243,1084.795,41.33654688869413,61.966,104.377,1684.4237162314816,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-08-01,monthly,27.58,1079.365,39.13578680203046,65.072,110.322,1695.3835751167935,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-09-01,monthly,27.497,1344.599,48.89984361930392,67.997,112.302,1651.5728635086843,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-10-01,monthly,26.996,1251.231,46.3487553711661,67.158,106.295,1582.7600583698145,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-11-01,monthly,25.973,1130.003,43.50683401994379,67.811,109.121,1609.1931987435664,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2005-12-01,monthly,32.816,1527.276,46.540589956118964,86.556,136.391,1575.7544248810018,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2006-01-01,annual,370.0,23847.0,64.45135135135135,842.0,1443.0,1713.7767220902613,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2006-01-01,monthly,20.87,1190.432,57.04034499281265,41.0,71.622,1746.878048780488,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2006-02-01,monthly,23.993,1551.856,64.67953153002959,58.497,90.731,1551.0368053062548,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2006-03-01,monthly,27.139,1468.772,54.12034341722244,71.476,115.672,1618.3334266047345,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2006-04-01,monthly,27.151,1558.765,57.41096092224964,67.92,112.737,1659.8498233215546,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2006-05-01,monthly,31.0,1719.0,55.45161290322581,72.0,124.0,1722.2222222222224,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2006-06-01,monthly,30.0,2036.0,67.86666666666666,73.0,129.0,1767.123287671233,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2006-07-01,monthly,32.0,1977.0,61.78125,73.0,126.0,1726.027397260274,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2006-08-01,monthly,34.0,2518.0,74.05882352941177,72.0,129.0,1791.6666666666667,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2006-09-01,monthly,32.0,1877.0,58.65625,69.0,119.0,1724.6376811594205,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
2006-10-01,monthly,33.0,1990.0,60.303030303030305,71.0,123.0,1732.394366197183,,,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE,CBAR statistical bulletin table 4.1,2026-03-23 03:09:53.637281+00:00
