period_date,period_type,real_sector_loans_total_mn_azn,real_sector_overdue_loans_mn_azn,real_sector_overdue_share_pct,trade_and_services_loans_mn_azn,mining_utilities_loans_mn_azn,agriculture_loans_mn_azn,construction_loans_mn_azn,industry_manufacturing_loans_mn_azn,transport_communication_loans_mn_azn,households_loans_mn_azn,real_estate_mortgage_loans_mn_azn,other_sectors_loans_mn_azn,source_file,bulletin_period,country_name,country_iso
2000-01-01,annual,466.5,,,76.457,15.954,36.938,12.934,15.74,70.42,41.737,,46.86,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2001-01-01,annual,486.2,134.4,27.642945290004118,85.614,33.827,14.57,9.013,15.736,69.056,54.901,,11.237,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2002-01-01,annual,520.16,111.6,21.45493694247924,102.235,44.142,19.875,14.907,15.682,57.0,83.267,,22.888999999999946,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2003-01-01,annual,670.3,124.4,18.558854244368195,112.5302,38.8714,30.1772,30.2534,43.5858,57.128,142.948,,29.63070437349998,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2004-01-01,annual,989.5,109.0,11.01566447700859,217.6,24.4,56.2,46.4,65.7,149.593,276.9,,1.2913999999999861,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-01-01,annual,1441.0,68.2,4.732824427480916,361.002,181.357,97.6,82.235,83.346,128.161,389.2,,11.591199999999985,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-01-01,monthly,970.3,106.8,11.006905080902813,232.776,31.518,57.06,47.747,66.635,111.805,280.1,,-22.835536276760088,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-02-01,monthly,1018.0,106.6,10.471512770137524,245.197,37.078,57.3,49.6,68.144,129.891,289.8,,-22.390532717060022,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-03-01,monthly,1073.5,104.2,9.706567303213786,275.384,41.203,57.3,50.982,71.723,130.674,304.8,,5.346013606826001,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-04-01,monthly,1098.4,105.1,9.568463219227967,290.961,37.644,55.4,56.241,77.593,126.316,312.6,,3.6094134047160953,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-05-01,monthly,1114.7,106.9,9.590024221763702,289.847,33.681,59.1,60.899,80.911,126.126,321.8,,2.9622000000000037,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-06-01,monthly,1079.6,59.2,5.483512412004447,290.784,29.642,59.8,64.896,85.02,115.771,339.4,,0.6813999999999494,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-07-01,monthly,1116.5,55.78,4.995969547693686,304.857,37.719,60.2,67.497,86.345,114.745,354.8,,2.2063999999999795,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-08-01,monthly,1208.8,57.46,4.753474520185308,304.526,101.518,65.0,66.862,87.463,122.483,364.4,,3.3509999999999494,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-09-01,monthly,1245.1,63.2,5.075897518271626,312.839,103.485,85.31,68.268,78.202,120.962,345.9,,33.16279999999981,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-10-01,monthly,1311.6,67.4,5.138761817627326,330.175,125.999,91.9,74.635,81.848,123.629,376.9,,6.477199999999926,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-11-01,monthly,1358.5,68.8,5.06440927493559,343.424,144.505,96.2,76.933,81.798,122.754,382.0,,8.720600000000028,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2005-12-01,monthly,1441.0,68.2,4.732824427480916,361.002,181.357,97.6,82.235,83.346,128.161,389.2,,11.591199999999985,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-01-01,annual,2362.721,77.655,3.286676674901522,647.19,92.158,136.487,152.531,192.576,214.853,778.0,63.3009,10.40399999999972,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-01-01,monthly,1389.036,68.9,4.960274607713551,363.1,117.7,102.0,89.4,85.2,121.4,408.6,,2.5280115599998347,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-02-01,monthly,1352.205,66.679,4.931131004544429,373.595,52.609,103.095,87.283,89.116,116.051,419.262,,3.193645199999719,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-03-01,monthly,1395.11,66.702,4.781128369805965,390.568,46.938,103.007,91.785,96.621,123.296,438.599,,3.567157470000096,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-04-01,monthly,1529.2,64.658,4.228223907925713,421.248,77.519,103.303,95.582,106.168,125.52,460.329,,5.433750370000106,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-05-01,monthly,1556.833,64.43,4.1385299515105345,446.041,77.28,105.392,98.645,113.885,131.463,481.265,,5.878538710000173,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-06-01,monthly,1660.51,63.1,3.8000373379263,466.189,64.932,113.411,106.578,122.743,160.138,519.514,,6.17467064999993,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-07-01,monthly,1785.02,63.52,3.5585035461787546,476.775,79.688,118.307,114.641,131.685,175.231,555.272,,8.047754399999732,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-08-01,monthly,1876.88,63.53,3.3848727675717143,536.285,71.681,122.856,129.077,141.485,176.128,590.533,,7.931984960000113,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-09-01,monthly,2015.15,68.18,3.3833709649405757,567.263,76.591,127.982,137.586,161.184,202.655,622.975,,9.86511934000005,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-10-01,monthly,2159.903,78.814,3.6489601616368885,583.896,100.342,133.555,144.436,173.816,200.254,682.531,,10.57199999999995,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-11-01,monthly,2242.031,80.217,3.5778720276392257,610.471,91.593,136.771,143.721,181.401,199.586,720.56,,10.53999999999975,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2006-12-01,monthly,2362.721,77.655,3.286676674901522,647.19,92.158,136.487,152.531,192.576,214.853,778.0,63.3009,10.40399999999972,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-01-01,annual,4681.77336147,100.26732249,2.1416526334909496,1194.0235844,302.04128283,197.23936623999998,312.34511679,308.04767585999997,469.6348895999999,1657.21590305,171.5556,28.09195221000082,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-01-01,monthly,2500.85578428,104.03176047,4.159846446321609,644.63155166,170.92006281,139.78622041,163.9699005,192.60703863999998,220.30830121999998,806.6255509,,10.863397670000355,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-02-01,monthly,2663.49710117,129.88478082,4.876475396310559,673.54309951,239.73402787,133.10883286,172.05884362,189.29286172000002,220.88417112000002,841.29791413,,11.121569519999841,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-03-01,monthly,2880.85364878,130.48997767,4.529559414629085,705.42599162,348.31504612,136.40225864,176.94534973,196.26314084,232.19589648,883.7137145300001,83.4084,12.26427315000036,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-04-01,monthly,3091.26418261,129.09170431,4.176016564233147,740.16257681,397.72375906,140.07191708000002,189.23269595,211.14186412,242.91248506,961.22581621,,12.38736400999945,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-05-01,monthly,3315.44991535,109.71650685,3.309249412637187,781.64590481,459.8392233,145.50070361,216.14399315000003,225.37826867,244.28758688000002,1047.48991247,,13.630815610000177,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-06-01,monthly,3458.49208962,106.28669577,3.073209162137427,805.21722611,424.59048204,152.68519210000002,242.76657958,235.06712525,265.74100705,1136.48750722,126.64571,14.776274500000092,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-07-01,monthly,3443.90377202,107.71368219,3.1276623657466835,862.55777506,219.69313585,158.35913916,236.52816991,249.74008945,274.17963833,1246.7164369800003,135.37072,18.401109329999734,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-08-01,monthly,3573.00272703,103.08589524,2.885133405025091,912.61713148,167.69609168,165.16409332,255.82276278,255.52799263,259.34234422000003,1341.56379249,129.497,21.037526280000478,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-09-01,monthly,3771.25162757,96.30660611,2.5537040648771296,988.80986358,178.69679516,163.90586535,255.21651581999998,270.1670559,278.06630707000005,1411.9887624100002,161.283595,24.801507750000113,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-10-01,monthly,4050.01542336,99.72692679,2.462383876732595,1065.40241483,215.65127704,179.93590966,278.59950420999996,289.47983313000003,332.9149522,1496.22856504,154.897,26.810337120000113,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-11-01,monthly,4340.28194935,98.18674948,2.262220533730636,1119.76335817,233.54055171,195.90338151999998,317.51357159,300.84869487000003,389.38392948,1596.31234249,154.897,23.760934629999948,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2007-12-01,monthly,4681.77336147,100.26732249,2.1416526334909496,1194.0235844,302.04128283,197.23936623999998,312.34511679,308.04767585999997,469.6348895999999,1657.21590305,171.5556,28.09195221000082,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-01-01,annual,7191.25078896,159.79559122,2.2220834164943604,1911.30721994,855.69988688,261.47057494,461.3720637,427.51873171,669.11947629,2334.86644867,197.6211,48.07962078000033,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-01-01,monthly,15513.61017843,1306.86195996,8.423970596973298,2426.8794658699994,629.4058279400001,540.2916687400001,466.63706786,1138.5084673100002,1177.51839527,7004.997649350001,1925.6,668.5711677300004,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-02-01,monthly,15696.359848159998,1297.79197466,8.26810793849208,2521.77142277,626.24213909,534.28357079,464.59826734,1135.4032957,1172.5300143999998,7099.5349342,1963.391261664,695.9846603599998,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-03-01,monthly,15637.419790709999,1386.7515801299999,8.868161107715816,2507.49810199,627.0516272900002,527.47044239,468.44416342,1129.17752469,1168.5521228400003,6960.75299096,1988.981264094,718.373803569998,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-04-01,monthly,15146.8,1232.4418596000003,8.136622718747063,2454.8192180700003,623.50596823,583.30684597,457.99721402000006,1137.70551614,1101.51051543,6704.177810810001,1953.817101414,711.6432795699977,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-05-01,monthly,14765.7,1084.8214846800004,7.346898427606218,2413.5674556900003,623.17214887,582.94547709,426.51841343,1159.29319097,961.8989958599999,6575.27981574,1939.752568984,807.74608437,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-06-01,monthly,14550.656176510003,1065.5159760600002,7.322803611978176,2394.9782242,562.24009227,552.7351518099999,420.78440397,1171.8380441299998,915.73129026,6540.049923569999,1967.35377,808.136446500005,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-07-01,monthly,14585.31483529,1062.4228878200001,7.284195780603977,2379.0843462600005,563.81334118,553.34032682,428.79080331,1191.0609771299999,917.7478229399999,6560.54099285,2009.110679564,810.3878274300014,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-08-01,monthly,14685.098078150002,1065.4106116100002,7.255045937999063,2395.1543402300003,545.4095941799999,557.72776112,433.14310065000006,1194.9634952499998,901.78172137,6659.583726389998,2030.933476614,813.3188220600018,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-09-01,monthly,14873.658797600001,1069.5053917,7.190600552653355,2495.7417140999996,522.70294926,563.4226996499999,433.73405429,1189.56884322,892.0023223699999,6780.3776128399995,2064.788759764,804.2811113200004,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-10-01,monthly,14785.94074823,1006.52323186,6.807299237828268,2546.82416423,512.82735919,552.1823019099999,432.26422625,1228.446872,875.5959433400001,6765.0320762599995,2094.029967654,746.4423360400018,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-11-01,monthly,14681.27673681,922.9163363800001,6.28634929321913,2594.5648604499997,516.71252259,553.9171542,477.40030588999997,1382.11215069,857.88437641,6757.3154658,2088.176035174,513.0172938099989,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2008-12-01,monthly,14530.423128150002,893.13990544,6.146688899304708,2606.8456367699996,524.48663854,566.2499174899999,492.95189799,1250.05735697,848.51894512,6709.271535320001,2093.380062575,527.904357419997,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2009-01-01,annual,8407.46002962,303.52331759,3.6101666439170526,1833.97556741,1521.95138097,394.76353073,576.51455678,536.86002767,520.36061713,2328.94564223,254.606,57.50058646000069,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2010-01-01,annual,9163.359779240001,492.87668798,5.378776997238873,2206.77638838,983.9515685,441.34799163,660.64497155,682.38481673,454.41087775,2700.80204307,401.415,46.04343435000066,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2011-01-01,annual,9850.30037074,633.80456287,6.434367877275053,2744.41018187,289.68772907,466.71578469,875.34030221,582.92162757,409.66164847,3314.9694567,575.8,46.79804282999993,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2012-01-01,annual,12243.7217637,748.82059921,6.115955700905356,2649.32739201,396.74502281,546.22941423,1270.27099822,1297.60908647,429.11634155,4316.65801691,703.69352,17.221721410000228,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2013-01-01,annual,15422.93771756,792.7801363699999,5.140266730555289,2219.8828612700004,288.15636638,733.2513623499999,2362.6414395499996,1516.4168226499999,506.04149092999995,6214.708656389999,890.77711,233.6665964100014,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2014-01-01,annual,18542.60991501,976.32447814,5.265302363663909,2680.7114317600003,195.82566301,847.2837065000001,2555.06533481,2027.84494105,736.0386267700001,7731.8495643100005,1219.05721962,231.17891463000026,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2015-01-01,annual,21730.445,1508.4988,6.9,3158.02423,316.54006,508.12902,3063.1964199999998,1948.3333,1465.58404,8383.6171,1542.42472,259.43742999999927,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2016-01-01,annual,16444.56172733,1472.5995942200004,8.954933665228774,2467.00279569,596.22871302,441.2690929099999,1908.56788125,1265.5546495100002,1271.1043573,5858.73370567,1703.4574499999999,198.09825160999975,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2017-01-01,annual,11757.786958620001,1626.7461591053998,13.83547911550465,2069.20896615,315.473367,429.24484704,546.19935486,621.19473879,1126.71022254,4606.4676968646,1737.27283257,146.752711860001,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2018-01-01,annual,13020.30336735,1584.9974706609999,12.17327604390213,2379.49415775,419.15198210000005,469.9772714399999,388.82759631,706.61157455,1370.65357931,5319.632608049,1848.0,228.38757550000176,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2019-01-01,annual,15298.183505950003,1273.0674075999998,8.321690003946278,2491.3275571199997,619.39557025,543.39684594,477.13003762999995,872.64787317,1204.2609666499998,6978.71938329,1939.1,673.7849684400026,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
2020-01-01,annual,14530.423128150002,893.13990544,6.146688899304708,2606.8456367699996,524.48663854,566.2499174899999,492.95189799,1250.05735697,848.51894512,6709.271535320001,2093.380062575,527.904357419997,statistical_bulletin_2026_01.xlsx,2026-01-01,Azerbaijan,AZE
