country_name,country_iso,date,year,currency_code,local_price,dollar_price,usd_raw_index,usd_adjusted_index,gdp_dollar,source_name,load_timestamp
United Arab Emirates,ARE,2025-01-01,2025,AED,18.0,4.90075961774075,-0.15358,-0.08393,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Argentina,ARG,2025-01-01,2025,ARS,7300.0,6.9523802902495,0.20076,0.56709,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Australia,AUS,2025-01-01,2025,AUD,7.75,4.87048750000002,-0.15881,-0.13284,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Azerbaijan,AZE,2025-01-01,2025,AZN,6.24,3.67058823529412,-0.36605,-0.19735,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Bahrain,BHR,2025-01-01,2025,BHD,1.7,4.50928381962865,-0.22119,-0.10146,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Brazil,BRA,2025-01-01,2025,BRL,23.9,4.02580558222582,-0.3047,-0.12344,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Canada,CAN,2025-01-01,2025,CAD,7.81,5.4294553164865,-0.06227,0.02541,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Switzerland,CHE,2025-01-01,2025,CHF,7.2,7.9924515735139,0.38039,0.41952,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Chile,CHL,2025-01-01,2025,CLP,4490.0,4.5479868321094,-0.21451,-0.03054,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
China,CHN,2025-01-01,2025,CNY,25.5,3.51828473271384,-0.39235,-0.25559,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Colombia,COL,2025-01-01,2025,COP,21900.0,5.17458922267746,-0.10629,0.14565,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
Costa Rica,CRI,2025-01-01,2025,CRC,2990.0,5.90180113496176,0.01931,0.26237,,The Economist Big Mac Index,2026-03-18 06:54:00.201631+00:00
