country_name,country_iso,year,value,indicator_code,indicator_name,obs_status,decimal_places,source_name,load_timestamp
Aruba,ABW,2024,39498.5941293797,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Afghanistan,AFG,2023,413.757894705303,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Angola,AGO,2024,2665.87444776753,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Albania,ALB,2024,11377.7757431099,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Andorra,AND,2024,49303.6491674336,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
United Arab Emirates,ARE,2024,50273.5060469837,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Argentina,ARG,2024,13969.7836603737,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Armenia,ARM,2024,8556.21406956719,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
American Samoa,ASM,2022,18017.4589383973,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Antigua and Barbuda,ATG,2024,23542.4526945578,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Australia,AUS,2024,64603.9856308464,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Austria,AUT,2024,58268.8787651601,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Azerbaijan,AZE,2024,7283.8499076179,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Burundi,BDI,2024,219.424830882698,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Belgium,BEL,2024,56614.5679499036,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Benin,BEN,2024,1485.38018885134,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
Burkina Faso,BFA,2024,981.992649769081,NY.GDP.PCAP.CD,GDP per capita (current US$),,1,World Bank API,2026-03-18 03:12:15.202076+00:00
