country_name,country_iso,year,account_ownership_pct,financial_institution_account_pct,mobile_money_account_pct,digital_payment_pct,borrowed_from_financial_institution_pct,source_name,load_timestamp
Afghanistan,AFG,2011,0.090050121,0.090050121,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Afghanistan,AFG,2014,0.099610012,0.099610012,0.003044038,,0.34861543,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Afghanistan,AFG,2017,0.148933122,0.145470839,0.009138161,,0.339189722,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Afghanistan,AFG,2021,0.096538218,0.096538218,0.0,,0.679691487,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Angola,AGO,2011,0.392035423,0.392035423,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Angola,AGO,2014,0.293181213,0.293181213,,,0.308385324,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Albania,ALB,2011,0.282681244,0.282681244,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Albania,ALB,2014,0.379863523,0.379863523,,,0.567801993,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Albania,ALB,2017,0.400151702,0.393175046,0.02377762,,0.429682048,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Albania,ALB,2021,0.441741743,0.441741743,,,0.426860066,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Albania,ALB,2024,0.460692506,0.460692506,,0.16690311,0.469624388,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
United Arab Emirates,ARE,2011,0.597323703,0.597323703,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
United Arab Emirates,ARE,2014,0.837433269,0.832043162,0.114909874,,0.638358273,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
United Arab Emirates,ARE,2017,0.882103911,0.873908545,0.213317966,,0.638642237,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
United Arab Emirates,ARE,2021,0.85742193,0.84560726,0.132578892,,0.435062262,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Argentina,ARG,2011,0.33130217,0.33130217,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Argentina,ARG,2014,0.501972945,0.501972945,0.004323196,,0.337041815,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Argentina,ARG,2017,0.487084867,0.479166929,0.024161674,,0.374963502,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Argentina,ARG,2021,0.716270859,0.663254395,0.350841379,,0.515608246,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Argentina,ARG,2024,0.817442447,0.728989947,0.567395437,0.713077048,0.561449707,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Armenia,ARM,2011,0.174868727,0.174868727,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Armenia,ARM,2014,0.176690647,0.172399639,0.006578374,,0.480211182,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Armenia,ARM,2017,0.477590178,0.453288188,0.09755307,,0.553152392,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Armenia,ARM,2021,0.553477333,0.522469373,0.167427431,,0.573089583,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Armenia,ARM,2024,0.713734735,0.705332707,0.173602692,0.468623211,0.569475036,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Australia,AUS,2011,0.990648467,0.990648467,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Australia,AUS,2014,0.988595664,0.988595664,,,0.761014285,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Australia,AUS,2017,0.995193731,0.995193731,,,0.717233767,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Australia,AUS,2021,0.993231498,0.993231498,,,0.670019993,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Australia,AUS,2024,0.980103778,0.980103778,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Austria,AUT,2011,0.970817388,0.970817388,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Austria,AUT,2014,0.967340576,0.967340576,,,0.572644582,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Austria,AUT,2017,0.981636643,0.981636643,,,0.616029108,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Austria,AUT,2021,0.999507175,0.999507175,,,0.640113576,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Austria,AUT,2024,0.995084975,0.995084975,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Azerbaijan,AZE,2011,0.149008504,0.149008504,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Azerbaijan,AZE,2014,0.291514931,0.291514931,,,0.4978431,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Azerbaijan,AZE,2017,0.285712045,0.285712045,,,0.506148542,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Azerbaijan,AZE,2022,0.462586542,0.462586542,,,0.550773888,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Azerbaijan,AZE,2024,0.563046655573957,0.563046655573957,,0.401930898,0.62661872,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Burundi,BDI,2011,0.072379846,0.072379846,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Burundi,BDI,2014,0.071057586,0.069434607,0.007463846,,0.604141932,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Belgium,BEL,2011,0.963061274,0.963061274,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Belgium,BEL,2014,0.981257531,0.981257531,,,0.553635781,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Belgium,BEL,2017,0.986383226,0.986383226,,,0.544547958,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Belgium,BEL,2021,0.990056968,0.990056968,,,0.562829773,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Belgium,BEL,2024,0.982369093,0.982369093,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Benin,BEN,2011,0.10463937,0.10463937,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Benin,BEN,2014,0.166208335,0.159799342,0.020227271,,0.39682998,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Benin,BEN,2017,0.384892214,0.318845146,0.180938376,,0.462761392,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Benin,BEN,2021,0.486055301,0.237882556,0.366837175,,0.471834121,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Benin,BEN,2024,0.51843206,0.199061778,0.448728519,0.476605685,0.729546064,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Burkina Faso,BFA,2011,0.13353092,0.13353092,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Burkina Faso,BFA,2014,0.143575961,0.134244859,0.030809696,,0.467622848,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Burkina Faso,BFA,2017,0.431599923,0.233405272,0.330227985,,0.523299906,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Burkina Faso,BFA,2021,0.361085343,0.210526432,0.246651698,,0.483717933,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Burkina Faso,BFA,2024,0.514274912,0.205498915,0.441573641,0.449327418,0.684636007,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bangladesh,BGD,2011,0.317436491,0.317436491,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bangladesh,BGD,2014,0.309908189,0.291421029,0.026917143,,0.48370029,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bangladesh,BGD,2017,0.50046913,0.409726485,0.212459589,,0.367884269,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bangladesh,BGD,2021,0.528060649,0.376861865,0.290057918,,0.461320374,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bangladesh,BGD,2024,0.432839733,0.329478937,0.207683726,0.228355064,0.702552695,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bulgaria,BGR,2011,0.528249019,0.528249019,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bulgaria,BGR,2014,0.629868277,0.629868277,,,0.362125075,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bulgaria,BGR,2017,0.722040294,0.722040294,,,0.375519501,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bulgaria,BGR,2021,0.839665205,0.839665205,,,0.477670947,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bulgaria,BGR,2024,0.84724395,0.84724395,,0.631469392,0.349641437,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bahrain,BHR,2011,0.645145712,0.645145712,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bahrain,BHR,2014,0.819393439,0.819393439,,,0.677819992,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bahrain,BHR,2017,0.826128502,0.826128502,,,0.601968975,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bahrain,BHR,2024,0.823220521,0.823220521,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bosnia and Herzegovina,BIH,2011,0.562116083,0.562116083,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bosnia and Herzegovina,BIH,2014,0.526850299,0.526850299,,,0.279203442,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bosnia and Herzegovina,BIH,2017,0.588434987,0.588434987,,,0.237572565,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bosnia and Herzegovina,BIH,2021,0.793378937,0.793378937,,,0.41911041,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
