country_name,country_iso,year,active_mobile_money_accounts_number,borrowers_commercial_banks_number,commercial_banks_number,source_name,load_timestamp
"Aruba, Kingdom of the Netherlands",ABW,2024,,,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Afghanistan, Islamic Republic of",AFG,2019,55394.0,66047.0,12.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Angola,AGO,2024,444918.0,541082.0,22.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Anguilla, United Kingdom-British Overseas Territory",AIA,2024,,,2.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Albania,ALB,2024,269765.0,352050.0,11.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Andorra, Principality of",AND,2024,,,3.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
United Arab Emirates,ARE,2023,,5515609.0,61.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Argentina,ARG,2024,,13956680.0,61.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Armenia, Republic of",ARM,2024,,,18.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Antigua and Barbuda,ATG,2024,,,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Australia,AUS,2024,,,96.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Austria,AUT,2024,,,36.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Azerbaijan, Republic of",AZE,2024,,3133563.0,22.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Burundi,BDI,2022,,,14.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Belgium,BEL,2024,,,76.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Benin,BEN,2024,11252487.0,352430.0,15.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Burkina Faso,BFA,2024,8917292.0,,16.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Bangladesh,BGD,2024,88892851.0,12052867.0,61.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Bulgaria,BGR,2024,,2165027.0,23.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Bahrain, Kingdom of",BHR,2024,,247889.0,29.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Bahamas, The",BHS,2024,146093.0,,10.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Bosnia and Herzegovina,BIH,2024,,917926.0,22.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Belarus, Republic of",BLR,2024,,,21.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Belize,BLZ,2024,,45083.0,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Bolivia,BOL,2024,,707173.0,9.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Brazil,BRA,2024,,130728649.0,150.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Barbados,BRB,2024,,,6.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Brunei Darussalam,BRN,2021,,125197.0,8.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Bhutan,BTN,2024,,,5.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Botswana,BWA,2024,2696648.0,335802.0,9.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Central African Republic,CAF,2017,2859.0,40742.0,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Canada,CAN,2024,,,75.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Switzerland,CHE,2024,,,230.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Chile,CHL,2024,,5834107.0,17.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"China, People's Republic of",CHN,2024,,783495000.0,183.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Côte d'Ivoire,CIV,2024,26370627.0,,28.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Cameroon,CMR,2020,8468978.0,571863.0,15.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Congo, Democratic Republic of the",COD,2021,,,16.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Congo, Republic of",COG,2022,15471.0,217138.710823289,10.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Colombia,COL,2024,,11090471.0,30.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Comoros, Union of the",COM,2024,162413.0,13127.0,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Cabo Verde,CPV,2024,289305.0,,7.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Costa Rica,CRI,2024,,1082223.0,14.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Cyprus,CYP,2024,,397617.0,18.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Czech Republic,CZE,2024,,,43.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Germany,DEU,2024,,,234.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Djibouti,DJI,2024,,35148.0,12.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Dominica,DMA,2024,,,2.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Denmark,DNK,2024,,,56.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Dominican Republic,DOM,2024,,2101701.02,16.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Algeria,DZA,2024,,1415162.0,20.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Ecuador,ECU,2024,,2022660.0,21.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Egypt, Arab Republic of",EGY,2024,20327031.0,9743696.0,36.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Spain,ESP,2024,,19530000.0,124.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Estonia, Republic of",EST,2024,,585271.0,14.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Ethiopia, The Federal Democratic Republic of",ETH,2023,,,32.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Finland,FIN,2024,,,28.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Fiji, Republic of",FJI,2024,678471.0,,6.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
France,FRA,2024,,,219.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Micronesia, Federated States of",FSM,2024,,,2.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Gabon,GAB,2013,24073.0,111382.0,10.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
United Kingdom,GBR,2024,,,273.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Georgia,GEO,2024,,1627180.0,17.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Ghana,GHA,2024,23500000.0,3864944.0,23.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Guinea,GIN,2024,4601251.0,196057.0,19.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Gambia, The",GMB,2024,722772.0,,12.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Guinea-Bissau,GNB,2024,3277322.0,,6.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Equatorial Guinea, Republic of",GNQ,2022,,71761.0,5.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Greece,GRC,2024,,,30.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Grenada,GRD,2024,,,3.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Guatemala,GTM,2024,22799254.0,2108771.0,18.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Guyana,GUY,2024,,,6.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Hong Kong Special Administrative Region, People's Republic of China",HKG,2024,,,150.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Honduras,HND,2024,425870.0,907513.0,15.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Croatia, Republic of",HRV,2024,,1799505.0,20.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Haiti,HTI,2020,,81185.0,8.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Hungary,HUN,2024,,3415549.0,34.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Indonesia,IDN,2024,,76670880.0,105.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
India,IND,2024,432312403.0,,141.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Ireland,IRL,2022,,,50.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Iran, Islamic Republic of",IRN,2018,,,30.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Iraq,IRQ,2024,,,72.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Iceland,ISL,2024,,,9.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Israel,ISR,2024,,,14.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Italy,ITA,2024,,30521105.0,201.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Jamaica,JAM,2024,,,8.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Jordan,JOR,2024,,,20.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Japan,JPN,2024,,,111.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Kazakhstan, Republic of",KAZ,2022,,,21.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Kenya,KEN,2024,,11581037.0,38.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Kyrgyz Republic,KGZ,2024,,1308181.0,21.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Cambodia,KHM,2024,12752024.0,,59.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Kiribati,KIR,2013,,1962.0,1.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
St. Kitts and Nevis,KNA,2024,,,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Korea, Republic of",KOR,2024,,,53.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Kosovo, Republic of",KOS,2024,,316585.0,11.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Kuwait,KWT,2024,,809198.0,22.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Lao People's Democratic Republic,LAO,2024,,114250.0,34.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Lebanon,LBN,2024,,303485.0,45.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Liberia,LBR,2023,2372740.9275,41739.0,9.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Libya,LBY,2022,66234.0,,20.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
St. Lucia,LCA,2024,,,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Liechtenstein, Principality of",LIE,2024,,,10.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Sri Lanka,LKA,2024,,,24.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Lesotho, Kingdom of",LSO,2024,1299483.0,80740.0,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Lithuania, Republic of",LTU,2024,,1005134.0,18.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Luxembourg,LUX,2024,,,115.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Latvia, Republic of",LVA,2024,,479066.0,14.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Macao Special Administrative Region, People's Republic of China",MAC,2024,,,33.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Morocco,MAR,2024,,,24.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Moldova, Republic of",MDA,2024,,402948.0,11.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Madagascar, Republic of",MDG,2024,6118287.0,2361116.0,13.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Maldives,MDV,2024,25485.0,171095.0,8.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Mexico,MEX,2024,,,51.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Marshall Islands, Republic of the",MHL,2024,,,5.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"North Macedonia, Republic of",MKD,2024,,574853.0,13.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Mali,MLI,2024,5828234.0,,14.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Malta,MLT,2024,,216482.0,21.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Myanmar,MMR,2020,1982881.0,535461.0,43.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Montenegro,MNE,2024,,164393.0,11.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Mongolia,MNG,2024,,,12.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Mozambique, Republic of",MOZ,2024,,1139224.0,15.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Mauritania, Islamic Republic of",MRT,2024,,,17.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Montserrat, United Kingdom-British Overseas Territory",MSR,2024,,,1.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Mauritius,MUS,2024,274689.0,282332.0,19.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Malawi,MWI,2024,9540460.0,318912.0,8.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Malaysia,MYS,2024,,8484953.0,41.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Namibia,NAM,2024,3617052.0,567360.0,7.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Niger,NER,2024,441764.0,,14.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Nigeria,NGA,2024,,4265456.0,26.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Nicaragua,NIC,2024,403775.0,,8.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Netherlands, The",NLD,2024,,,85.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Norway,NOR,2024,,,36.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Nepal,NPL,2024,7573729.0,,20.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
New Zealand,NZL,2024,,,27.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Oman,OMN,2022,,,18.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Pakistan,PAK,2024,61441068.0,3713251.0,32.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Panama,PAN,2024,,,57.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Peru,PER,2024,,4346240.0,16.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Philippines,PHL,2024,,,44.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Palau, Republic of",PLW,2017,,5465.0,5.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Papua New Guinea,PNG,2022,,,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Poland, Republic of",POL,2024,,14170006.0,61.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Portugal,PRT,2024,,4530218.0,61.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Paraguay,PRY,2024,2646873.0,2303514.0,17.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Qatar,QAT,2021,337930.0,594233.0,16.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Romania,ROU,2024,,3963927.0,23.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Russian Federation,RUS,2024,,,314.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Rwanda,RWA,2024,7169324.0,875988.0,10.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Saudi Arabia,SAU,2024,,6311203.0,28.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Sudan,SDN,2018,4600401.0,,37.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Senegal,SEN,2024,14648818.0,,29.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Singapore,SGP,2024,,,132.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Solomon Islands,SLB,2024,,20708.0,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Sierra Leone,SLE,2025,,,13.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
El Salvador,SLV,2024,114974.0,,12.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"San Marino, Republic of",SMR,2024,,12409.0,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Serbia, Republic of",SRB,2024,,3110429.0,20.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"South Sudan, Republic of",SSD,2024,1078726.0,7477.0,30.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"São Tomé and Príncipe, Democratic Republic of",STP,2024,,8117.0,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Suriname,SUR,2024,,87191.0,10.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Slovak Republic,SVK,2024,,,20.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Slovenia, Republic of",SVN,2024,,,11.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Sweden,SWE,2024,,,79.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Eswatini, Kingdom of",SWZ,2024,716651.0,875412.0,5.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Seychelles,SYC,2024,552.0,22830.0,7.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Syrian Arab Republic,SYR,2013,,637820.0,20.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Chad,TCD,2022,240127.0,77263.0,,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Togo,TGO,2024,4444234.0,214319.0,14.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Thailand,THA,2024,,18919917.0,28.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Tajikistan, Republic of",TJK,2024,,3254224.0,16.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Timor-Leste, Democratic Republic of",TLS,2023,,46798.0,5.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Tonga,TON,2018,29523.0,,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Trinidad and Tobago,TTO,2024,,,8.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Tunisia,TUN,2024,,2365865.0,22.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Türkiye, Republic of",TUR,2024,,65609085.0,35.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Tanzania, United Republic of",TZA,2024,60745698.0,1936519.0,34.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Uganda,UGA,2024,32127030.0,1703720.0,22.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Ukraine,UKR,2024,,,62.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Uruguay,URY,2024,,2120351.0,11.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
United States,USA,2024,,,3912.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Uzbekistan, Republic of",UZB,2024,,9440042.0,36.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
St. Vincent and the Grenadines,VCT,2024,,,3.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Venezuela, República Bolivariana de",VEN,2015,,,26.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Vietnam,VNM,2024,7409827.0,,46.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Vanuatu,VUT,2021,,16513.0,5.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
West Bank and Gaza,WBG,2024,,511763.0,13.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Samoa,WSM,2024,28137.0,20388.0,4.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
"Yemen, Republic of",YEM,2015,,208131.0,16.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
South Africa,ZAF,2024,3442712.0,,30.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Zambia,ZMB,2024,12328755.0,558551.0,15.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
Zimbabwe,ZWE,2024,6712554.0,575874.0,18.0,IMF Financial Access Survey,2026-03-21 12:39:56.462393+00:00
