reporter_name,reporter_iso3,year,hs_code,hs_label,flow_code,flow_name,partner_code,partner_name,source_name,trade_value_usd,net_weight_kg,load_timestamp
Azerbaijan,AZE,2025,0802,Nuts,X,Export,0,World,UN Comtrade,174445902.3,20327045.987,2026-03-21 17:05:14.397487+00:00
Azerbaijan,AZE,2025,2709,Crude petroleum oils,X,Export,0,World,UN Comtrade,12091147469.01,23381284821.0,2026-03-21 17:05:14.397487+00:00
Azerbaijan,AZE,2025,2711,Petroleum gas / natural gas,X,Export,0,World,UN Comtrade,8821558290.56,18374237779.66,2026-03-21 17:05:14.397487+00:00
Azerbaijan,AZE,2025,8504,Transformers / electrical equipment,M,Import,0,World,UN Comtrade,116330495.45,9288655.034,2026-03-21 17:05:14.397487+00:00
Azerbaijan,AZE,2025,8517,Telecom equipment,M,Import,0,World,UN Comtrade,588692156.84,0.0,2026-03-21 17:05:14.397487+00:00
Azerbaijan,AZE,2025,8607,Railway parts,M,Import,0,World,UN Comtrade,15217379.89,1035095.072,2026-03-21 17:05:14.397487+00:00
Azerbaijan,AZE,2025,8703,Passenger cars,M,Import,0,World,UN Comtrade,2142022818.54,189663567.164,2026-03-21 17:05:14.397487+00:00
Azerbaijan,AZE,2025,8704,Goods vehicles / trucks,M,Import,0,World,UN Comtrade,99108092.93,23458240.647,2026-03-21 17:05:14.397487+00:00
Kazakhstan,KAZ,2024,2709,Crude petroleum oils,X,Export,0,World,UN Comtrade,42878761294.66,71022759850.0,2026-03-21 17:05:14.397487+00:00
Kazakhstan,KAZ,2024,8429,Construction machinery,M,Import,0,World,UN Comtrade,583934085.88,136939027.9,2026-03-21 17:05:14.397487+00:00
Kazakhstan,KAZ,2024,8517,Telecom equipment,M,Import,0,World,UN Comtrade,1642096364.96,10705193.67,2026-03-21 17:05:14.397487+00:00
Kazakhstan,KAZ,2024,8607,Railway parts,M,Import,0,World,UN Comtrade,288987315.44,87482067.84,2026-03-21 17:05:14.397487+00:00
Kazakhstan,KAZ,2024,8703,Passenger cars,M,Import,0,World,UN Comtrade,2290784346.37,227606640.839,2026-03-21 17:05:14.397487+00:00
Kazakhstan,KAZ,2024,8704,Goods vehicles / trucks,M,Import,0,World,UN Comtrade,482460513.01,108916199.29,2026-03-21 17:05:14.397487+00:00
