period_date,period_type,business_loans_total_mn_azn,large_business_loans_mn_azn,medium_business_loans_mn_azn,small_business_loans_mn_azn,micro_business_loans_mn_azn,country_name,country_iso,real_sector_loans_total_mn_azn,real_sector_overdue_loans_mn_azn,real_sector_overdue_share_pct,trade_and_services_loans_mn_azn,mining_utilities_loans_mn_azn,agriculture_loans_mn_azn,construction_loans_mn_azn,industry_manufacturing_loans_mn_azn,transport_communication_loans_mn_azn,households_loans_mn_azn,real_estate_mortgage_loans_mn_azn,other_sectors_loans_mn_azn,npl_total_mn_azn,npl_business_mn_azn,npl_consumer_mn_azn,npl_mortgage_mn_azn,npl_ratio_pct,npl_business_ratio_pct,npl_consumer_ratio_pct,npl_mortgage_ratio_pct,deposit_avg_rate_azn_pct,deposit_legal_rate_azn_pct,deposit_individual_rate_azn_pct,loan_avg_rate_azn_pct,loan_legal_rate_azn_pct,loan_individual_rate_azn_pct,deposit_avg_rate_fx_pct,deposit_legal_rate_fx_pct,deposit_individual_rate_fx_pct,loan_avg_rate_fx_pct,loan_legal_rate_fx_pct,loan_individual_rate_fx_pct,notices_entered_count,searches_count,source_name
2022/1/1,annual,,,,,,Azerbaijan,AZE,20183.98185,593.7401019,2.941640091,3302.959002,649.8606591,629.0863036,1097.379751,1059.785591,792.6693219,11273.07878,3013.012785,677.3456201,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan credit access and stability gold mart
2022/1/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,779.292851,530.6722072,183.6788013,64.94184258,4.644001689,5.445162287,3.978344758,2.685865275,8.589323273,5.319076212,9.115073848,14.3310403,9.977644208,16.43739682,1.483733584,0.989940459,1.814411032,4.800655608,4.711370862,5.45390965,2452,1165,Azerbaijan credit access and stability gold mart
2022/2/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,776.2033153,532.5029897,182.2432244,61.45710124,4.532380858,5.339926049,3.884277148,2.496421685,8.621135053,5.425166189,9.118304806,14.38218703,10.04761921,16.42575912,1.476107831,0.991338379,1.794822136,4.799011503,4.713850238,5.437106821,2916,1495,Azerbaijan credit access and stability gold mart
2022/3/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,811.5517285,557.2821123,192.1404626,62.12915358,4.630192499,5.473444788,3.976997794,2.470804517,8.648685666,5.469805232,9.127499031,14.30585772,10.08099057,16.34396034,1.466019508,0.993225515,1.779772261,4.780708513,4.702034108,5.372225244,3001,1628,Azerbaijan credit access and stability gold mart
2022/4/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,813.7687847,555.9920587,200.6043716,57.17235434,4.56157839,5.383581737,4.06036658,2.223278095,8.730552048,5.653497344,9.167776381,14.2774216,10.10159368,16.29164583,1.452051973,0.970188934,1.75348372,4.756201639,4.686598862,5.231345133,3404,1935,Azerbaijan credit access and stability gold mart
2022/5/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,847.2704146,577.6594072,211.7263704,57.88463703,4.681689297,5.547335352,4.171664843,2.21872513,8.721271841,5.662252801,9.13427409,14.23775093,10.10718081,16.22121461,1.42757761,0.996519314,1.688978813,4.750071653,4.676941982,5.317842838,3033,1716,Azerbaijan credit access and stability gold mart
2022/6/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,826.0423396,551.0072094,221.6629192,53.37221112,4.509142803,5.257210748,4.27113693,2.015179329,8.720065605,5.675564551,9.136330542,14.26091712,10.19600071,16.17280112,1.43271437,1.020862618,1.676714773,4.723866826,4.652237975,5.276393636,3127,1737,Azerbaijan credit access and stability gold mart
2022/7/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,822.6193476,551.6853385,218.8921275,52.04188169,4.449789572,5.255989548,4.118366198,1.945227993,8.650698119,5.445453278,9.129644304,14.31283952,10.23112877,16.22905917,1.299184974,0.814555825,1.653245852,4.771437202,4.707200015,5.30260667,2750,2133,Azerbaijan credit access and stability gold mart
2022/8/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,778.8957382,519.4748256,206.8035629,52.61734973,4.179097397,4.951517047,3.817921452,1.92736479,8.523970102,5.05634481,9.173166921,14.33880141,10.21551439,16.25302868,1.309462827,0.824177626,1.664526572,4.759553339,4.706826382,5.159137395,3476,2292,Azerbaijan credit access and stability gold mart
2022/9/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,785.7179383,524.9855293,210.2019171,50.53049195,4.101586981,4.869897346,3.752548987,1.821153025,8.538784991,5.054659209,9.188141301,14.37016995,10.17306359,16.28631755,1.311930389,0.820285887,1.6753455,4.77074258,4.703382137,5.285660319,4136,2699,Azerbaijan credit access and stability gold mart
2022/10/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,779.49978,525.7101196,206.0706568,47.71900351,4.003432819,4.817478746,3.617363436,1.667611051,8.572833819,5.12942296,9.200021048,14.33588175,10.14070563,16.28129278,1.325496757,0.823064796,1.693647455,4.781619601,4.739105511,5.064588124,6097,2867,Azerbaijan credit access and stability gold mart
2022/11/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,798.0569564,536.6964529,215.2062973,46.15420617,4.056367391,4.889803492,3.72866503,1.577016769,8.598240227,5.095626629,9.254588724,14.29188846,10.13611442,16.19541883,1.366411207,0.888172322,1.730090045,4.80303694,4.775795168,4.98271509,5562,2179,Azerbaijan credit access and stability gold mart
2022/12/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,735.2648362,507.3290358,184.9246815,43.01111881,3.752431835,4.673663209,3.213764749,1.440836727,8.621299826,5.081805182,9.305497654,14.20787882,10.01885964,16.14862978,1.400852254,0.88872897,1.783642443,4.759620979,4.721047316,5.006638935,7470,3762,Azerbaijan credit access and stability gold mart
2023/1/1,annual,,,,,,Azerbaijan,AZE,23979.12436,437.8449276,1.825942103,3539.346191,752.8335383,532.8336517,1133.752527,1210.89045,1426.288405,14006.31972,3630.819239,800.80815,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan credit access and stability gold mart
2023/1/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,751.4452718,512.642012,193.7978309,45.00542896,3.820339938,4.726745093,3.334520453,1.494121841,8.601422905,5.124849643,9.281594933,14.13465237,9.993401139,16.03620553,1.414411708,0.912117932,1.788496168,4.848039093,4.783722211,5.262820081,4083,2024,Azerbaijan credit access and stability gold mart
2023/2/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,742.333706,499.3412698,200.2564887,42.73594747,3.757238304,4.608348923,3.415209128,1.397428974,8.614719683,5.318486484,9.262659903,14.24013679,9.975793037,16.15131431,1.428752267,0.913127137,1.816351602,4.816679095,4.768607459,5.130437763,4439,1973,Azerbaijan credit access and stability gold mart
2023/3/1,monthly,,,,,,Azerbaijan,AZE,,,,,,,,,,,,,749.5150546,506.1012845,197.9862619,45.42750827,3.740357101,4.612915701,3.331730865,1.453794356,8.536458813,5.142260092,9.284244439,14.26135667,9.977576194,16.14353249,1.503540915,1.143813625,1.800593697,4.811988094,4.763279345,5.127235128,4284,2540,Azerbaijan credit access and stability gold mart
