country_name,country_iso,year,account_ownership_pct,financial_institution_account_pct,mobile_money_account_pct,digital_payment_pct,borrowed_from_financial_institution_pct,source_name,load_timestamp
Afghanistan,AFG,2021,0.096538218,0.096538218,0.0,,0.679691487,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Angola,AGO,2014,0.293181213,0.293181213,,,0.308385324,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Albania,ALB,2024,0.460692506,0.460692506,,0.16690311,0.469624388,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
United Arab Emirates,ARE,2021,0.85742193,0.84560726,0.132578892,,0.435062262,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Argentina,ARG,2024,0.817442447,0.728989947,0.567395437,0.713077048,0.561449707,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Armenia,ARM,2024,0.713734735,0.705332707,0.173602692,0.468623211,0.569475036,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Australia,AUS,2024,0.980103778,0.980103778,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Austria,AUT,2024,0.995084975,0.995084975,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Azerbaijan,AZE,2024,0.563046655573957,0.563046655573957,,0.401930898,0.62661872,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Burundi,BDI,2014,0.071057586,0.069434607,0.007463846,,0.604141932,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Belgium,BEL,2024,0.982369093,0.982369093,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Benin,BEN,2024,0.51843206,0.199061778,0.448728519,0.476605685,0.729546064,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Burkina Faso,BFA,2024,0.514274912,0.205498915,0.441573641,0.449327418,0.684636007,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bangladesh,BGD,2024,0.432839733,0.329478937,0.207683726,0.228355064,0.702552695,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bulgaria,BGR,2024,0.84724395,0.84724395,,0.631469392,0.349641437,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bahrain,BHR,2024,0.823220521,0.823220521,,,,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Bosnia and Herzegovina,BIH,2024,0.774588923,0.774588923,,0.375142976,0.248906645,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
Belarus,BLR,2017,0.81155885,0.81155885,,,0.486390846,World Bank Global Findex,2026-03-21 11:22:05.560394+00:00
