period_date,period_type,rtgs_txn_count_thousand,rtgs_txn_amount_mn_azn,rtgs_avg_amount_thousand_azn,lvpcss_txn_count_thousand,lvpcss_txn_amount_mn_azn,lvpcss_avg_amount_azn,ips_txn_count_thousand,ips_txn_amount_mn_azn,country_name,country_iso,atm_total_units,atm_baku_units,atm_regions_units,pos_total_units,contactless_pos_total_units,retail_service_pos_total_units,retail_service_pos_baku_units,baku_pos_total_units,payment_cards_total_thousand,payment_cards_contactless_thousand,debit_social_cards_thousand,debit_salary_cards_thousand,debit_other_cards_thousand,credit_cards_thousand,card_txn_count_thousand,card_txn_amount_mn_azn,cash_withdrawal_atm_count_thousand,cash_withdrawal_atm_amount_mn_azn,cash_withdrawal_pos_count_thousand,cash_withdrawal_pos_amount_mn_azn,non_cash_atm_count_thousand,non_cash_atm_amount_mn_azn,non_cash_pos_count_thousand,non_cash_pos_amount_mn_azn,contactless_pos_count_thousand,contactless_pos_amount_mn_azn,ecommerce_count_thousand,ecommerce_amount_mn_azn,self_service_terminal_count_thousand,self_service_terminal_amount_mn_azn,bank_customers_total_people,bank_customers_individuals_people,bank_customers_individual_entrepreneurs_people,bank_customers_legal_entities_people,customer_accounts_total_count,customer_accounts_transaction_count,customer_accounts_credit_count,customer_accounts_deposit_count,transaction_accounts_individuals_count,transaction_accounts_individual_entrepreneurs_count,transaction_accounts_legal_entities_count,internet_banking_users_count,internet_banking_legal_entities_count,mobile_banking_users_count,mobile_banking_legal_entities_count
2022/1/1,month,67,17426,260.0895522,6018,2948,489.8637421,16,31,Azerbaijan,AZE,2983,1590,1393,61679,44544,60165,40029,40955,11682.848,7772.369,3463.776,2613.392,4165.557,1440.123,38349.377,3488.031243,8504.178,1899.075596,20.168,95.3599615,5.462,1.3356915,12365.101,384.2964886,9810.845,288.0617203,13043.338,921.4592786,27.875,1.114931,12629978,12503644,518523,126334,27270770,22604857,4405980,259933,22337304,617661,267553,1237.432,11961.60904,5581.651,963.3806687
2022/1/1,year,1358.646,300066.2687,220.8568448,95896.628,41939.11745,437.3367273,337.329,549.635376,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/2/1,month,95,16543,174.1368421,5920,2665,450.1689189,18,31,Azerbaijan,AZE,2994,1601,1393,63328,46520,61801,41591,42512,11940.006,8002.068,3520.31,2635.551,4322.671,1461.474,39729.972,3847.387035,9364.777,2200.350731,25.34,93.10026139,3.436,0.86426585,12347.332,361.1547596,10178.638,287.3192259,13981.749,1029.387571,31.303,1.18715,12770701,12644236,529967,126465,27734485,22986485,4485036,262964,22716483,631689,270002,1002.496,13390.82682,6541.259,1136.352887
2022/3/1,month,104,23466,225.6346154,6286,3302,525.2943048,22,35,Azerbaijan,AZE,2997,1599,1398,66548,49473,65042,43451,44345,12178.953,8289.896,3570.149,2646.784,4453.118,1508.902,47789.195,4465.16995,10799.087,2464.59678,29.813,114.3546301,6.998,1.7452754,13565.434,443.0198944,12412.121,359.6413038,18935.585,1255.644646,30.787,1.158344,12956913,12829565,538819,127348,28261468,23387283,4609258,264927,23114820,644070,272463,1799.155,15154.87679,7369.198,2681.284157
2022/4/1,month,112.12,20839.32628,185.8662708,6480.875,3425.606015,528.5715301,25.18,42.958795,Azerbaijan,AZE,2996,1583,1413,68244,50407,66764,44641,45522,12310.733,8474.124,3558.507,2672.522,4547.201,1532.503,45483.639,4240.965687,9805.94,2273.089198,32.104,127.3912667,3.489,0.86773404,13004.019,387.0263992,11971.076,318.8972044,18301.97,1286.869536,37.438,1.397981,13026311,12897017,551724,129294,28675008,23663879,4743154,267975,23386392,659788,277487,2313.506,18497.92954,8486.202,2003.269052
2022/5/1,month,103.633,16256.34083,156.8645203,6720.664,3242.397328,482.4519315,24.11,39.065194,Azerbaijan,AZE,2996,1580,1416,69275,57046,67322,45271,46459,12430.845,8604.91,3500.919,2673.093,4702.209,1554.624,50481.47,4595.411962,10831.366,2444.492332,28.701,118.1138438,3.046,0.9653403,14620.932,435.6679642,13540.487,375.3332408,20107.529,1389.010164,42.096,1.92757658,13140530,13009640,563093,130890,29127369,23991179,4864806,271384,23709851,674039,281328,2477.132,16078.76729,9531.816,1798.203293
2022/6/1,month,116.784,14850.07805,127.1584982,6751.238,3257.912492,482.5651965,27.385,45.560266,Azerbaijan,AZE,2998,1580,1418,70814,58204,69005,46368,47421,12659.495,8787.461,3495.554,2694.768,4869.765,1599.408,53123.345,5061.463788,10825.844,2676.773555,33.339,137.6937611,2.893,1.08100145,16542.581,484.36786,15404.893,405.2724309,21010.518,1542.525419,42.291,2.32064351,13013757,12878196,574648,135561,29276612,24009998,4992220,274394,23724130,687772,285868,2159.958,17371.78649,9850.845,1609.30842
2022/7/1,month,110.021,15694.88487,142.6535377,6965.457,3536.906155,507.7780474,30.625,50.419568,Azerbaijan,AZE,3009,1579,1430,70963,58692,69148,46435,47489,12843.772,9023.74,3501.08,2717.81,4976.572,1648.31,52376.264,5143.390158,10570.517,2726.497684,33.234,133.5177863,2.643,0.96894567,15936.786,467.281288,14778.231,393.0019018,21461.797,1583.3187,46.936,2.913028,13141852,13009099,582788,132753,29724430,24346057,5099370,279003,24056612,700420,289445,2201.075,17050.26917,10475.921,1457.926483
2022/8/1,month,121.154,15361.73768,126.7951341,9746.189,3436.945381,352.6450576,31.246,50.17809,Azerbaijan,AZE,3025,1582,1443,72442,60432,70515,47297,48398,13035.458,9219.369,3513.876,2737.744,5088.642,1695.196,57772.568,5276.813112,10885.263,2605.141527,34.65,147.7299807,2.518,0.87707595,18580.158,524.3980282,17385.598,445.900498,23742.601,1727.338549,60.33,3.25090343,13316889,13182234,595198,134655,30346932,24823081,5239737,284114,24528808,716861,294273,2337.773,16989.67391,10517.945,1471.561088
2022/9/1,month,118.939,33364.51172,280.5178429,9486.771,3224.034832,339.8453311,32.095,47.609662,Azerbaijan,AZE,3029,1586,1443,74456,62984,72470,48603,49735,13194.261,9420.126,3513.92,2738.358,5214.563,1727.42,58403.914,5189.961169,10672.234,2543.366276,33.415,149.3306786,2.478,0.85759347,18740.532,507.6112123,17568.49,433.3947409,24512.513,1753.678196,59.853,3.370375,13483062,13346884,607639,136178,30971047,25295328,5387201,288518,24997047,733107,298281,2166.729,16607.46039,11388.531,1623.314056
