period_date,period_type,nominal_gdp_mn_azn,real_gdp_growth_pct,gdp_deflator_pct,non_oil_gdp_mn_azn,non_oil_gdp_growth_pct,capital_investment_mn_azn,capital_investment_growth_pct,nominal_income_mn_azn,nominal_income_growth_pct,avg_monthly_wage_azn,avg_monthly_wage_growth_pct,cpi_monthly_pct,cpi_12m_pct,cpi_annual_avg_pct,country_name,country_iso,current_account_balance_mn_usd,trade_balance_mn_usd,goods_exports_total_mn_usd,oil_gas_exports_mn_usd,other_exports_mn_usd,goods_imports_total_mn_usd,oil_gas_imports_mn_usd,other_imports_mn_usd,total_exports_ths_usd,exports_yoy_pct,exports_non_cis_ths_usd,exports_non_cis_yoy_pct,exports_cis_ths_usd,exports_cis_yoy_pct,total_imports_ths_usd,imports_yoy_pct,source_name
2022/1/1,annual,133972.7,104.7,137.3,61509.1,109,17878.1651,103.3,69163,120.9,839.4,114.7,0.9582556,14.38245126,13.8522591,Azerbaijan,AZE,,,,,,,,,42206696.14,194.5701152,40706447.5,204.6633213,1500248.645,83.21713562,13509216.42,129.6635656,Azerbaijan economic diversification gold mart
2022/1/1,monthly,9283.5,105.8,139.5,4085.8,108.7,658.1,88.9,4675.9,115.5,765.9,110.9,1.6459641,12.46483291,12.4648329,Azerbaijan,AZE,,,,,,,,,,,,,,,,,Azerbaijan economic diversification gold mart
2022/1/1,quarterly,,,,,,,,,,,,,,,Azerbaijan,AZE,5767.454,7005.118,10979.79,10079.565,900.225,-3974.672,-1411.315,229.21,,,,,,,,,Azerbaijan economic diversification gold mart
2022/2/1,monthly,18742.8,106.7,144.7,8093.6,110.1,1339.7,97.9,9273.2,115.6,768.3,111,1.0978858,11.87472929,12.1673942,Azerbaijan,AZE,,,,,,,,,,,,,,,,,Azerbaijan economic diversification gold mart
2022/3/1,monthly,29676.7,106.8,146.7,13080.5,110.3,2440.7,90.5,16043.8,119.2,809,113.4,1.1043107,12.14982863,12.1614741,Azerbaijan,AZE,,,,,,,,,,,,,,,,,Azerbaijan economic diversification gold mart
2022/4/1,monthly,39859,107.2,146.9,16870.8,111.3,3678,94.7,20480.9,119.6,824.7,114.2,1.039651,12.96269564,12.3639122,Azerbaijan,AZE,,,,,,,,,,,,,,,,,Azerbaijan economic diversification gold mart
2022/5/1,monthly,51073.9,107.2,147.8,21730.4,111,4915.5,96.8,26422.4,119.6,825.3,114,0.7369602,13.74204569,12.6419853,Azerbaijan,AZE,,,,,,,,,,,,,,,,,Azerbaijan economic diversification gold mart
2022/6/1,monthly,63389.6,106.2,146.4,27965.8,109.4,6299.6,100.7,33017.4,119.6,827.1,114.2,-0.106573,14.18277643,12.8996201,Azerbaijan,AZE,,,,,,,,,,,,,,,,,Azerbaijan economic diversification gold mart
2022/7/1,monthly,74910.1,106.2,145.2,32909.3,109.9,7301.7,100.1,38806.6,120.1,831.3,114.1,0.4771907,13.68545158,13.013078,Azerbaijan,AZE,,,,,,,,,,,,,,,,,Azerbaijan economic diversification gold mart
2022/8/1,monthly,85691.4,105.8,144.3,37985.1,110.2,9117,106.9,44491.2,120,829,114.3,0.8910389,14.16667858,13.1592128,Azerbaijan,AZE,,,,,,,,,,,,,,,,,Azerbaijan economic diversification gold mart
