country_name,country_iso,year,voice_accountability,source_name,load_timestamp
Aruba,ABW,2024,0.9576686999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Andorra,ADO,2024,0.7892366,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Afghanistan,AFG,2024,-2.1483748,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Angola,AGO,2024,-1.0588932,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Anguilla,AIA,2017,1.0557604999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Albania,ALB,2024,-0.012416799999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Netherlands Antilles (former),ANT,2017,0.38791709999999996,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
United Arab Emirates,ARE,2024,-0.8537486999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Argentina,ARG,2024,0.385552,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Armenia,ARM,2024,0.1201848,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
American Samoa,ASM,2024,0.9305775,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Antigua and Barbuda,ATG,2024,0.5117735,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Australia,AUS,2024,1.5123301999999998,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Austria,AUT,2024,1.4054571,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Azerbaijan,AZE,2024,-1.5042391,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Burundi,BDI,2024,-1.4920981,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Belgium,BEL,2024,1.4972136,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Benin,BEN,2024,-0.38047529999999996,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Burkina Faso,BFA,2024,-0.9644775999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Bangladesh,BGD,2024,-1.1608036,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Bulgaria,BGR,2024,0.2133864,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Bahrain,BHR,2024,-1.3214713,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
"Bahamas, The",BHS,2024,0.5530661,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Bosnia and Herzegovina,BIH,2024,-0.3952516,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Belarus,BLR,2024,-1.6904177,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Belize,BLZ,2024,0.10396079999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Bermuda,BMU,2017,1.0557604999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Bolivia,BOL,2024,-0.4397641,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Brazil,BRA,2024,0.3164771,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Barbados,BRB,2024,0.99396,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Brunei Darussalam,BRN,2024,-0.7999315,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Bhutan,BTN,2024,0.40106559999999997,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Botswana,BWA,2024,0.295265,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Central African Republic,CAF,2024,-1.311266,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Canada,CAN,2024,1.5036041999999998,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Switzerland,CHE,2024,1.6422377,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Chile,CHL,2024,0.994188,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
China,CHN,2024,-1.6531931,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Côte d’Ivoire,CIV,2024,-0.6166747,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Cameroon,CMR,2024,-1.2417667,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
"Congo, Dem. Rep.",COD,2024,-1.213613,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
"Congo, Rep.",COG,2024,-1.3147807999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Cook Islands,COK,2024,0.595611,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Colombia,COL,2024,0.034564,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Comoros,COM,2024,-1.2379665,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Cabo Verde,CPV,2024,0.7910794999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Costa Rica,CRI,2024,1.0114744,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Cuba,CUB,2024,-1.2685712999999998,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Cayman Islands,CYM,2024,0.9576686999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Cyprus,CYP,2024,0.8873327999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Czechia,CZE,2024,1.2546960999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Germany,DEU,2024,1.5981515,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Djibouti,DJI,2024,-1.2450001,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Dominica,DMA,2024,0.37982299999999997,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Denmark,DNK,2024,1.8949405,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Dominican Republic,DOM,2024,0.2011502,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Algeria,DZA,2024,-1.0484061,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Ecuador,ECU,2024,-0.1051406,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
"Egypt, Arab Rep.",EGY,2024,-1.6006344,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Eritrea,ERI,2024,-2.2897811999999997,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Spain,ESP,2024,1.1484423,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Estonia,EST,2024,1.4144994,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Ethiopia,ETH,2024,-1.2423966,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Finland,FIN,2024,1.8535580999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Fiji,FJI,2024,0.33163,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
France,FRA,2024,1.1486676999999998,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
"Micronesia, Fed. Sts.",FSM,2024,0.9031950999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Gabon,GAB,2024,-1.0208367,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
United Kingdom,GBR,2024,1.3006115999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Georgia,GEO,2024,-0.253538,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Ghana,GHA,2024,0.2043162,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Guinea,GIN,2024,-1.209414,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
"Gambia, The",GMB,2024,-0.1820029,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Guinea-Bissau,GNB,2024,-0.778828,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Equatorial Guinea,GNQ,2024,-1.7254261,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Greece,GRC,2024,0.7818531,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Grenada,GRD,2024,0.3787385,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Greenland,GRL,2024,1.4046946999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Guatemala,GTM,2024,-0.4707611,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
French Guiana,GUF,2024,0.9576686999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Guam,GUM,2024,1.1757975999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Guyana,GUY,2024,-0.1074386,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
"Hong Kong SAR, China",HKG,2024,-0.3206346,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
Honduras,HND,2024,-0.6535451999999999,World Bank Worldwide Governance Indicators,2026-03-21 15:18:49.130984+00:00
